year,iso_week,week_first_session,week_last_session,rebalance_dates,forced_exit_dates,week_end_source_signal_date,gross_target,cash_target,position_count,held_at_week_end,target_weights_at_week_end,constituent_snapshot_date,tradable_constituent_count
2020,1,2020-01-02,2020-01-03,2020-01-03,,2020-01-02,1.0,0.0,5,ALGN | AMD | PEAK | QRVO | TIF,ALGN:0.2000000000 | AMD:0.2000000000 | PEAK:0.2000000000 | QRVO:0.2000000000 | TIF:0.2000000000,2019-12-23,502
2020,2,2020-01-06,2020-01-10,2020-01-10,,2020-01-09,1.0,0.0,5,ALGN | AMD | PEAK | QRVO | TIF,ALGN:0.2000000000 | AMD:0.2000000000 | PEAK:0.2000000000 | QRVO:0.2000000000 | TIF:0.2000000000,2019-12-23,502
2020,3,2020-01-13,2020-01-17,2020-01-17,,2020-01-16,1.0,0.0,5,ALGN | AMD | PEAK | QRVO | TIF,ALGN:0.2000000000 | AMD:0.2000000000 | PEAK:0.2000000000 | QRVO:0.2000000000 | TIF:0.2000000000,2019-12-23,502
2020,4,2020-01-21,2020-01-24,,,2020-01-16,1.0,0.0,5,ALGN | AMD | PEAK | QRVO | TIF,ALGN:0.2000000000 | AMD:0.2000000000 | PEAK:0.2000000000 | QRVO:0.2000000000 | TIF:0.2000000000,2019-12-23,502
2020,5,2020-01-27,2020-01-31,2020-01-27,,2020-01-24,1.0,0.0,5,AMD | J | PEAK | QRVO | TIF,AMD:0.2000000000 | J:0.2000000000 | PEAK:0.2000000000 | QRVO:0.2000000000 | TIF:0.2000000000,2020-01-28,502
2020,6,2020-02-03,2020-02-07,2020-02-03,,2020-01-31,1.0,0.0,5,AMD | DXC | J | PEAK | QRVO,AMD:0.2000000000 | DXC:0.2000000000 | J:0.2000000000 | PEAK:0.2000000000 | QRVO:0.2000000000,2020-01-28,502
2020,7,2020-02-10,2020-02-14,2020-02-10,,2020-02-07,1.0,0.0,5,AMD | APA | DXC | J | WDC,AMD:0.2000000000 | APA:0.2000000000 | DXC:0.2000000000 | J:0.2000000000 | WDC:0.2000000000,2020-01-28,502
2020,8,2020-02-18,2020-02-21,2020-02-18,,2020-02-14,1.0,0.0,5,AMD | APA | J | PAYC | WDC,AMD:0.2000000000 | APA:0.2000000000 | J:0.2000000000 | PAYC:0.2000000000 | WDC:0.2000000000,2020-01-28,502
2020,9,2020-02-24,2020-02-28,2020-02-25,,2020-02-24,1.0,0.0,5,AMD | APA | J | LB | WDC,AMD:0.2000000000 | APA:0.2000000000 | J:0.2000000000 | LB:0.2000000000 | WDC:0.2000000000,2020-01-28,502
2020,10,2020-03-02,2020-03-06,2020-03-03,,2020-03-02,1.0,0.0,5,AMD | APA | J | LB | WDC,AMD:0.2000000000 | APA:0.2000000000 | J:0.2000000000 | LB:0.2000000000 | WDC:0.2000000000,2020-03-03,502
2020,11,2020-03-09,2020-03-13,2020-03-10,,2020-03-09,1.0,0.0,5,AMD | APA | J | LB | WDC,AMD:0.2000000000 | APA:0.2000000000 | J:0.2000000000 | LB:0.2000000000 | WDC:0.2000000000,2020-03-03,502
2020,12,2020-03-16,2020-03-20,2020-03-17,,2020-03-16,0.5,0.5,5,AMD | APA | LB | TWTR | WDC,AMD:0.1000000000 | APA:0.1000000000 | LB:0.1000000000 | TWTR:0.1000000000 | WDC:0.1000000000,2020-03-03,502
