year,iso_week,week_first_session,week_last_session,rebalance_dates,forced_exit_dates,week_end_source_signal_date,gross_target,cash_target,position_count,held_at_week_end,target_weights_at_week_end,constituent_snapshot_date,tradable_constituent_count
2011,39,2011-09-26,2011-09-30,2011-09-27,,2011-09-26,1.0,0.0,5,COG | LXK | MA | MMI | RRC,COG:0.2000000000 | LXK:0.2000000000 | MA:0.2000000000 | MMI:0.2000000000 | RRC:0.2000000000,2011-09-27,462
2011,40,2011-10-03,2011-10-07,2011-10-04,,2011-10-03,0.5,0.5,5,COG | LXK | MA | MMI | RRC,COG:0.1000000000 | LXK:0.1000000000 | MA:0.1000000000 | MMI:0.1000000000 | RRC:0.1000000000,2011-10-07,463
2011,41,2011-10-10,2011-10-14,2011-10-11,,2011-10-10,1.0,0.0,5,COG | LXK | MA | MMI | RRC,COG:0.2000000000 | LXK:0.2000000000 | MA:0.2000000000 | MMI:0.2000000000 | RRC:0.2000000000,2011-10-14,462
2011,42,2011-10-17,2011-10-21,2011-10-18,,2011-10-17,1.0,0.0,5,AMD | CF | LXK | MA | MMI,AMD:0.2000000000 | CF:0.2000000000 | LXK:0.2000000000 | MA:0.2000000000 | MMI:0.2000000000,2011-10-21,463
2011,43,2011-10-24,2011-10-28,2011-10-25,,2011-10-24,1.0,0.0,5,CERN | GR | MA | MMI | RL,CERN:0.2000000000 | GR:0.2000000000 | MA:0.2000000000 | MMI:0.2000000000 | RL:0.2000000000,2011-10-28,463
2011,44,2011-10-31,2011-11-04,2011-11-01,,2011-10-31,1.0,0.0,5,CERN | GR | MA | MMI | TLAB,CERN:0.2000000000 | GR:0.2000000000 | MA:0.2000000000 | MMI:0.2000000000 | TLAB:0.2000000000,2011-11-02,463
2011,45,2011-11-07,2011-11-11,2011-11-08,,2011-11-07,1.0,0.0,5,GR | JBL | JWN | MMI | RL,GR:0.2000000000 | JBL:0.2000000000 | JWN:0.2000000000 | MMI:0.2000000000 | RL:0.2000000000,2011-11-10,463
2011,46,2011-11-14,2011-11-18,2011-11-15,,2011-11-14,1.0,0.0,5,GR | JBL | JWN | NVDA | SNDK,GR:0.2000000000 | JBL:0.2000000000 | JWN:0.2000000000 | NVDA:0.2000000000 | SNDK:0.2000000000,2011-11-18,463
2011,47,2011-11-21,2011-11-25,2011-11-22,,2011-11-21,1.0,0.0,5,HAR | JBL | PHM | SHLD | SNDK,HAR:0.2000000000 | JBL:0.2000000000 | PHM:0.2000000000 | SHLD:0.2000000000 | SNDK:0.2000000000,2011-11-25,463
2011,48,2011-11-28,2011-12-02,2011-11-30,,2011-11-29,1.0,0.0,5,FFIV | HAR | JBL | SHLD | SNDK,FFIV:0.2000000000 | HAR:0.2000000000 | JBL:0.2000000000 | SHLD:0.2000000000 | SNDK:0.2000000000,2011-12-01,464
2011,49,2011-12-05,2011-12-09,2011-12-07,,2011-12-06,1.0,0.0,5,AKAM | FFIV | HAR | SHLD | SNDK,AKAM:0.2000000000 | FFIV:0.2000000000 | HAR:0.2000000000 | SHLD:0.2000000000 | SNDK:0.2000000000,2011-12-09,465
2011,50,2011-12-12,2011-12-16,2011-12-14,,2011-12-13,1.0,0.0,5,AKAM | FFIV | HAR | PHM | SHLD,AKAM:0.2000000000 | FFIV:0.2000000000 | HAR:0.2000000000 | PHM:0.2000000000 | SHLD:0.2000000000,2011-12-14,465
2011,51,2011-12-19,2011-12-23,2011-12-21,,2011-12-20,1.0,0.0,5,AKAM | FFIV | GT | HAR | PHM,AKAM:0.2000000000 | FFIV:0.2000000000 | GT:0.2000000000 | HAR:0.2000000000 | PHM:0.2000000000,2011-12-23,467
2011,52,2011-12-27,2011-12-30,2011-12-29,,2011-12-28,1.0,0.0,5,AKAM | FFIV | GT | HAR | PHM,AKAM:0.2000000000 | FFIV:0.2000000000 | GT:0.2000000000 | HAR:0.2000000000 | PHM:0.2000000000,2011-12-30,467
