year,iso_week,week_first_session,week_last_session,rebalance_dates,forced_exit_dates,week_end_source_signal_date,gross_target,cash_target,position_count,held_at_week_end,target_weights_at_week_end,constituent_snapshot_date,tradable_constituent_count
2018,34,2018-08-20,2018-08-24,2018-08-20,,2018-08-17,1.0,0.0,5,AMD | HBI | JEF | TRIP | TWTR,AMD:0.2000000000 | HBI:0.2000000000 | JEF:0.2000000000 | TRIP:0.2000000000 | TWTR:0.2000000000,2018-08-20,502
2018,35,2018-08-27,2018-08-31,2018-08-27,,2018-08-24,1.0,0.0,5,AMD | HBI | MNST | TRIP | TWTR,AMD:0.2000000000 | HBI:0.2000000000 | MNST:0.2000000000 | TRIP:0.2000000000 | TWTR:0.2000000000,2018-08-30,502
2018,36,2018-09-04,2018-09-07,2018-09-04,,2018-08-31,1.0,0.0,5,AMD | ARNC | CF | CPB | REGN,AMD:0.2000000000 | ARNC:0.2000000000 | CF:0.2000000000 | CPB:0.2000000000 | REGN:0.2000000000,2018-09-07,502
2018,37,2018-09-10,2018-09-14,2018-09-11,,2018-09-10,1.0,0.0,5,AMD | ARNC | CF | CPB | REGN,AMD:0.2000000000 | ARNC:0.2000000000 | CF:0.2000000000 | CPB:0.2000000000 | REGN:0.2000000000,2018-09-13,501
2018,38,2018-09-17,2018-09-21,2018-09-18,,2018-09-17,1.0,0.0,5,ARNC | BIIB | CTL | FLS | REGN,ARNC:0.2000000000 | BIIB:0.2000000000 | CTL:0.2000000000 | FLS:0.2000000000 | REGN:0.2000000000,2018-09-21,501
2018,39,2018-09-24,2018-09-28,2018-09-25,,2018-09-24,1.0,0.0,5,AMD | ARNC | BIIB | CTL | FLS,AMD:0.2000000000 | ARNC:0.2000000000 | BIIB:0.2000000000 | CTL:0.2000000000 | FLS:0.2000000000,2018-09-24,501
2018,40,2018-10-01,2018-10-05,2018-10-02,,2018-10-01,1.0,0.0,5,AMD | ARNC | BIIB | FLS | NKTR,AMD:0.2000000000 | ARNC:0.2000000000 | BIIB:0.2000000000 | FLS:0.2000000000 | NKTR:0.2000000000,2018-10-04,501
2018,41,2018-10-08,2018-10-12,2018-10-09,,2018-10-08,1.0,0.0,5,AMD | ARNC | FLS | JWN | NKTR,AMD:0.2000000000 | ARNC:0.2000000000 | FLS:0.2000000000 | JWN:0.2000000000 | NKTR:0.2000000000,2018-10-12,501
2018,42,2018-10-15,2018-10-19,2018-10-16,,2018-10-15,1.0,0.0,5,AMD | ARNC | FLS | JWN | NKTR,AMD:0.2000000000 | ARNC:0.2000000000 | FLS:0.2000000000 | JWN:0.2000000000 | NKTR:0.2000000000,2018-10-15,501
2018,43,2018-10-22,2018-10-26,2018-10-23,,2018-10-22,1.0,0.0,5,AMD | ARNC | FLS | FTNT | NKTR,AMD:0.2000000000 | ARNC:0.2000000000 | FLS:0.2000000000 | FTNT:0.2000000000 | NKTR:0.2000000000,2018-10-25,501
2018,44,2018-10-29,2018-11-02,2018-10-30,,2018-10-29,1.0,0.0,5,ABMD | AMD | FLS | FTNT | NKTR,ABMD:0.2000000000 | AMD:0.2000000000 | FLS:0.2000000000 | FTNT:0.2000000000 | NKTR:0.2000000000,2018-10-31,500
2018,45,2018-11-05,2018-11-09,2018-11-06,,2018-11-05,1.0,0.0,5,AMD | FLS | FTNT | JWN | NLSN,AMD:0.2000000000 | FLS:0.2000000000 | FTNT:0.2000000000 | JWN:0.2000000000 | NLSN:0.2000000000,2018-11-07,501
2018,46,2018-11-12,2018-11-16,2018-11-13,,2018-11-12,1.0,0.0,5,AMD | ATVI | AVGO | JWN | PCG,AMD:0.2000000000 | ATVI:0.2000000000 | AVGO:0.2000000000 | JWN:0.2000000000 | PCG:0.2000000000,2018-11-15,501
2018,47,2018-11-19,2018-11-23,2018-11-20,,2018-11-19,1.0,0.0,5,AMD | AVGO | MOS | PCG | XEC,AMD:0.2000000000 | AVGO:0.2000000000 | MOS:0.2000000000 | PCG:0.2000000000 | XEC:0.2000000000,2018-11-15,501
2018,48,2018-11-26,2018-11-30,2018-11-28,,2018-11-27,1.0,0.0,5,LB | PCG | SBUX | ULTA | XLNX,LB:0.2000000000 | PCG:0.2000000000 | SBUX:0.2000000000 | ULTA:0.2000000000 | XLNX:0.2000000000,2018-11-29,499
2018,49,2018-12-03,2018-12-07,2018-12-06,,2018-12-04,1.0,0.0,5,LB | RHT | SBUX | UAA | XLNX,LB:0.2000000000 | RHT:0.2000000000 | SBUX:0.2000000000 | UAA:0.2000000000 | XLNX:0.2000000000,2018-12-07,501
2018,50,2018-12-10,2018-12-14,2018-12-13,,2018-12-12,1.0,0.0,5,LB | RHT | TRIP | UAA | XLNX,LB:0.2000000000 | RHT:0.2000000000 | TRIP:0.2000000000 | UAA:0.2000000000 | XLNX:0.2000000000,2018-12-07,501
2018,51,2018-12-17,2018-12-21,2018-12-20,,2018-12-19,0.5,0.5,5,LB | RHT | TRIP | UAA | XLNX,LB:0.1000000000 | RHT:0.1000000000 | TRIP:0.1000000000 | UAA:0.1000000000 | XLNX:0.1000000000,2018-12-21,500
2018,52,2018-12-24,2018-12-28,2018-12-28,,2018-12-27,0.5,0.5,5,NWL | RHT | TRIP | TWTR | XLNX,NWL:0.1000000000 | RHT:0.1000000000 | TRIP:0.1000000000 | TWTR:0.1000000000 | XLNX:0.1000000000,2018-12-24,501
