date,strategy_equity,spy_equity,qqq_equity,gross_close,cash_close,trade_at_open,turnover,cost_fraction,cumulative_turnover
2000-01-03,0.9444097150276308,0.981028667790894,0.9850552306692656,1.0,0.0,True,1.0,0.0005,1.0
2000-01-04,0.8601902998703307,0.9426648247288628,0.9174792658687776,1.0,0.0,False,0.0,0.0,1.0
2000-01-05,0.8411410120224747,0.9443506077949346,0.8940871874996731,1.0,0.0,True,0.4479451817951214,0.0002239725908975,1.4479451817951214
2000-01-06,0.7880620816788617,0.9291735503217416,0.832683852491037,0.9999999999999998,2.220446049250313e-16,False,0.0,0.0,1.4479451817951214
2000-01-07,0.8578374944213157,0.9831365947213144,0.9356724979793388,1.0,1.1102230246251563e-16,False,0.0,0.0,1.4479451817951214
2000-01-10,0.9079740697149068,0.9865093106616488,0.9616635288235182,1.0,0.0,False,0.0,0.0,1.4479451817951214
2000-01-11,0.8534055942935935,0.97470521551626,0.9148800310011846,1.0,0.0,False,0.0,0.0,1.4479451817951214
2000-01-12,0.8551430478947929,0.9650084723971956,0.8947367844221821,1.0,0.0,True,0.0511589960972984,2.5579498048649215e-05,1.49910417789242
2000-01-13,0.868093849098998,0.9780776029399684,0.9486679192705884,1.0,0.0,False,0.0,0.0,1.49910417789242
2000-01-14,0.9078669462625432,0.9913576411566029,0.9707602390096388,1.0,1.1102230246251563e-16,False,0.0,0.0,1.49910417789242
2000-01-18,0.9827014704496873,0.9835581636815668,0.9759586146139844,0.9999999999999998,2.220446049250313e-16,False,0.0,0.0,1.49910417789242
2000-01-19,0.97464436568614,0.991568220313838,0.9980510284838736,0.9999999999999996,3.3306690738754696e-16,False,0.0,0.0,1.49910417789242
2000-01-20,0.988931281519988,0.976391327098958,0.9883038741976896,1.0,0.0,True,0.151583915894658,7.579195794732903e-05,1.650688093787078
2000-01-21,0.9980199523610308,0.9742833180393812,1.0006499809589484,1.0,0.0,False,0.0,0.0,1.650688093787078
2000-01-24,0.918542446908486,0.9466696887866852,0.9525669127682382,1.0,0.0,False,0.0,0.0,1.650688093787078
2000-01-25,0.9491838428240504,0.9574199847251772,0.9668616220353472,1.0,0.0,False,0.0,0.0,1.650688093787078
2000-01-26,0.922292457309403,0.9498315791823152,0.927875358161595,1.0,1.1102230246251563e-16,False,0.0,0.0,1.650688093787078
2000-01-27,0.8919897359780038,0.9460371300234148,0.941520564637034,1.0,0.0,True,0.056649094737938,2.832454736896904e-05,1.707337188525016
2000-01-28,0.8472247992344627,0.91652648151416,0.8940871874996731,1.0,0.0,False,0.0,0.0,1.707337188525016
2000-01-31,0.8920813320209496,0.9413999535897916,0.932423948581754,1.0,0.0,False,0.0,0.0,1.707337188525016
2000-02-01,0.9379532140001048,0.9506744707153512,0.9574402545842308,1.0,1.1102230246251563e-16,False,0.0,0.0,1.707337188525016
2000-02-02,0.957754540860128,0.9515176907650132,0.9655618634052916,0.9999999999999998,2.220446049250313e-16,False,0.0,0.0,1.707337188525016
2000-02-03,0.9770772264882894,0.9658515281885444,1.0032492158265414,1.0,0.0,True,0.0377624286689473,1.8881214334473663e-05,1.7450996171939634
2000-02-04,0.998094178791582,0.9618464177432524,1.0100715366717423,1.0000000000000002,0.0,False,0.0,0.0,1.7450996171939634
2000-02-07,0.9986618935179472,0.9603711317052592,1.0240414004121774,1.0,1.1102230246251563e-16,False,0.0,0.0,1.7450996171939634
2000-02-08,1.0331680287468226,0.9734404265063452,1.0669262812602198,1.0,1.1102230246251563e-16,False,0.0,0.0,1.7450996171939634
2000-02-09,1.0204083019837944,0.9529933053196324,1.0292398701473635,1.0,0.0,False,0.0,0.0,1.7450996171939634
2000-02-10,1.0600700407252954,0.9548903245761914,1.0630281349401256,1.0,0.0,True,0.5067451126079291,0.0002533725563039,2.2518447298018924
2000-02-11,1.0645863619139877,0.9354973311130016,1.038336674464323,1.0,0.0,False,0.0,0.0,2.2518447298018924
2000-02-14,1.0576151021914255,0.9409785488878518,1.0370368217034285,1.0,1.1102230246251563e-16,False,0.0,0.0,2.2518447298018924
2000-02-15,1.0636537800686876,0.9516233088602568,1.0445092101253357,0.9999999999999996,4.440892098500626e-16,False,0.0,0.0,2.2518447298018924
2000-02-16,1.1031721035029676,0.9376054223017348,1.0396365272252173,0.9999999999999996,4.440892098500626e-16,False,0.0,0.0,2.2518447298018924
2000-02-17,1.1214855277700466,0.9327573381942504,1.0617287528334274,1.0,0.0,True,0.1148110597412278,5.74055298706139e-05,2.3666557895431204
2000-02-18,1.059080255109126,0.9127323608718856,1.023392180013026,1.0,0.0,False,0.0,0.0,2.3666557895431204
2000-02-22,1.0443622612506591,0.9104132798801352,1.0266407294106097,1.0,0.0,False,0.0,0.0,2.3666557895431204
2000-02-23,1.1086918068242502,0.9211639864644094,1.0838208843107984,1.0,1.1102230246251563e-16,False,0.0,0.0,2.3666557895431204
2000-02-24,1.1158780569953737,0.9026138845342556,1.1072123978948665,0.9999999999999998,2.220446049250313e-16,False,0.0,0.0,2.3666557895431204
2000-02-25,1.1304597559467044,0.899346540301695,1.0818717170199117,1.0,0.0,True,0.8687103620474257,0.0004343551810237,3.2353661515905463
2000-02-28,1.1112625098778104,0.918212593096858,1.081221461181526,1.0,0.0,False,0.0,0.0,3.2353661515905463
