year,iso_week,week_first_session,week_last_session,rebalance_dates,forced_exit_dates,week_end_source_signal_date,gross_target,cash_target,position_count,held_at_week_end,target_weights_at_week_end,constituent_snapshot_date,tradable_constituent_count
2016,1,2016-01-04,2016-01-08,2016-01-06,,2016-01-05,1.0,0.0,5,ARG | FSLR | KLAC | QRVO | SNDK,ARG:0.2000000000 | FSLR:0.2000000000 | KLAC:0.2000000000 | QRVO:0.2000000000 | SNDK:0.2000000000,2016-01-06,485
2016,2,2016-01-11,2016-01-15,2016-01-13,,2016-01-12,0.5,0.5,5,ARG | GMCR | KLAC | QRVO | SNDK,ARG:0.1000000000 | GMCR:0.1000000000 | KLAC:0.1000000000 | QRVO:0.1000000000 | SNDK:0.1000000000,2016-01-15,485
2016,3,2016-01-19,2016-01-22,2016-01-21,,2016-01-20,0.5,0.5,5,ARG | FSLR | GMCR | KLAC | NFLX,ARG:0.1000000000 | FSLR:0.1000000000 | GMCR:0.1000000000 | KLAC:0.1000000000 | NFLX:0.1000000000,2016-01-22,486
2016,4,2016-01-25,2016-01-29,2016-01-28,,2016-01-27,0.5,0.5,5,ARG | FSLR | GMCR | ILMN | MYL,ARG:0.1000000000 | FSLR:0.1000000000 | GMCR:0.1000000000 | ILMN:0.1000000000 | MYL:0.1000000000,2016-01-26,486
2016,5,2016-02-01,2016-02-05,2016-02-04,,2016-02-03,0.5,0.5,5,ARG | FSLR | GMCR | ILMN | MYL,ARG:0.1000000000 | FSLR:0.1000000000 | GMCR:0.1000000000 | ILMN:0.1000000000 | MYL:0.1000000000,2016-02-05,486
2016,6,2016-02-08,2016-02-12,2016-02-11,,2016-02-10,0.5,0.5,5,ARG | FSLR | GMCR | KSS | MYL,ARG:0.1000000000 | FSLR:0.1000000000 | GMCR:0.1000000000 | KSS:0.1000000000 | MYL:0.1000000000,2016-02-05,486
2016,7,2016-02-16,2016-02-19,2016-02-19,,2016-02-18,0.5,0.5,5,ARG | FSLR | GMCR | KSS | MNK,ARG:0.1000000000 | FSLR:0.1000000000 | GMCR:0.1000000000 | KSS:0.1000000000 | MNK:0.1000000000,2016-02-16,486
2016,8,2016-02-22,2016-02-26,2016-02-26,,2016-02-25,0.5,0.5,5,BXLT | FSLR | GMCR | MAT | WYNN,BXLT:0.1000000000 | FSLR:0.1000000000 | GMCR:0.1000000000 | MAT:0.1000000000 | WYNN:0.1000000000,2016-02-26,486
2016,9,2016-02-29,2016-03-04,2016-03-04,2016-03-03,2016-03-03,0.5,0.5,5,BXLT | COG | FSLR | KORS | MAT,BXLT:0.1000000000 | COG:0.1000000000 | FSLR:0.1000000000 | KORS:0.1000000000 | MAT:0.1000000000,2016-03-04,485
2016,10,2016-03-07,2016-03-11,2016-03-11,,2016-03-10,0.5,0.5,5,COG | FSLR | KORS | MAT | SWN,COG:0.1000000000 | FSLR:0.1000000000 | KORS:0.1000000000 | MAT:0.1000000000 | SWN:0.1000000000,2016-03-11,486
2016,11,2016-03-14,2016-03-18,2016-03-18,,2016-03-17,0.5,0.5,5,COG | KORS | NEM | RRC | SWN,COG:0.1000000000 | KORS:0.1000000000 | NEM:0.1000000000 | RRC:0.1000000000 | SWN:0.1000000000,2016-03-18,486
2016,12,2016-03-21,2016-03-24,,,2016-03-17,0.5,0.5,5,COG | KORS | NEM | RRC | SWN,COG:0.1000000000 | KORS:0.1000000000 | NEM:0.1000000000 | RRC:0.1000000000 | SWN:0.1000000000,2016-03-24,485
2016,13,2016-03-28,2016-04-01,2016-03-28,,2016-03-24,1.0,0.0,5,ADT | COG | KORS | NEM | SWN,ADT:0.2000000000 | COG:0.2000000000 | KORS:0.2000000000 | NEM:0.2000000000 | SWN:0.2000000000,2016-03-31,486
2016,14,2016-04-04,2016-04-08,2016-04-04,,2016-04-01,1.0,0.0,5,ADT | COG | FCX | KORS | NEM,ADT:0.2000000000 | COG:0.2000000000 | FCX:0.2000000000 | KORS:0.2000000000 | NEM:0.2000000000,2016-04-08,487
2016,15,2016-04-11,2016-04-15,2016-04-11,,2016-04-08,0.5,0.5,5,ADT | COG | FCX | KORS | NEM,ADT:0.1000000000 | COG:0.1000000000 | FCX:0.1000000000 | KORS:0.1000000000 | NEM:0.1000000000,2016-04-15,487
2016,16,2016-04-18,2016-04-22,2016-04-18,,2016-04-15,1.0,0.0,5,ADT | COG | FCX | KORS | NEM,ADT:0.2000000000 | COG:0.2000000000 | FCX:0.2000000000 | KORS:0.2000000000 | NEM:0.2000000000,2016-04-20,487
2016,17,2016-04-25,2016-04-29,2016-04-25,,2016-04-22,1.0,0.0,5,ADT | FCX | KORS | NEM | WYNN,ADT:0.2000000000 | FCX:0.2000000000 | KORS:0.2000000000 | NEM:0.2000000000 | WYNN:0.2000000000,2016-04-28,488
2016,18,2016-05-02,2016-05-06,2016-05-02,2016-05-02,2016-04-29,0.8,0.2,4,FCX | KORS | NEM | WYNN,FCX:0.2000000000 | KORS:0.2000000000 | NEM:0.2000000000 | WYNN:0.2000000000,2016-05-06,488
2016,19,2016-05-09,2016-05-13,2016-05-09,,2016-05-06,1.0,0.0,5,FCX | HES | MRO | NFX | WYNN,FCX:0.2000000000 | HES:0.2000000000 | MRO:0.2000000000 | NFX:0.2000000000 | WYNN:0.2000000000,2016-05-13,488
2016,20,2016-05-16,2016-05-20,2016-05-16,,2016-05-13,0.5,0.5,5,FCX | HES | MRO | NFX | WYNN,FCX:0.1000000000 | HES:0.1000000000 | MRO:0.1000000000 | NFX:0.1000000000 | WYNN:0.1000000000,2016-05-20,488
2016,21,2016-05-23,2016-05-27,2016-05-23,,2016-05-20,0.5,0.5,5,CHK | FCX | MRO | MUR | NFX,CHK:0.1000000000 | FCX:0.1000000000 | MRO:0.1000000000 | MUR:0.1000000000 | NFX:0.1000000000,2016-05-24,488
2016,22,2016-05-31,2016-06-03,2016-05-31,,2016-05-27,1.0,0.0,5,CHK | FCX | MRO | MUR | SWN,CHK:0.2000000000 | FCX:0.2000000000 | MRO:0.2000000000 | MUR:0.2000000000 | SWN:0.2000000000,2016-06-03,488
2016,23,2016-06-06,2016-06-10,2016-06-07,,2016-06-06,1.0,0.0,5,DVN | NEM | OKE | RRC | SWN,DVN:0.2000000000 | NEM:0.2000000000 | OKE:0.2000000000 | RRC:0.2000000000 | SWN:0.2000000000,2016-06-09,488
2016,24,2016-06-13,2016-06-17,2016-06-14,,2016-06-13,1.0,0.0,5,DVN | NEM | OKE | RRC | SWN,DVN:0.2000000000 | NEM:0.2000000000 | OKE:0.2000000000 | RRC:0.2000000000 | SWN:0.2000000000,2016-06-09,488
2016,25,2016-06-20,2016-06-24,2016-06-21,,2016-06-20,1.0,0.0,5,DVN | NEM | OKE | RRC | SWN,DVN:0.2000000000 | NEM:0.2000000000 | OKE:0.2000000000 | RRC:0.2000000000 | SWN:0.2000000000,2016-06-24,488
2016,26,2016-06-27,2016-07-01,2016-06-28,,2016-06-27,0.5,0.5,5,DVN | OKE | RRC | SWN | WMB,DVN:0.1000000000 | OKE:0.1000000000 | RRC:0.1000000000 | SWN:0.1000000000 | WMB:0.1000000000,2016-07-01,487
