year,iso_week,week_first_session,week_last_session,rebalance_dates,forced_exit_dates,week_end_source_signal_date,gross_target,cash_target,position_count,held_at_week_end,target_weights_at_week_end,constituent_snapshot_date,tradable_constituent_count
2017,42,2017-10-16,2017-10-20,2017-10-18,,2017-10-17,1.0,0.0,5,GPS | KORS | PRGO | RL | TSCO,GPS:0.2000000000 | KORS:0.2000000000 | PRGO:0.2000000000 | RL:0.2000000000 | TSCO:0.2000000000,2017-10-20,496
2017,43,2017-10-23,2017-10-27,2017-10-25,,2017-10-24,1.0,0.0,5,CF | GPS | KORS | RL | TSCO,CF:0.2000000000 | GPS:0.2000000000 | KORS:0.2000000000 | RL:0.2000000000 | TSCO:0.2000000000,2017-10-23,493
2017,44,2017-10-30,2017-11-03,2017-11-01,,2017-10-31,1.0,0.0,5,CF | GPS | KORS | MU | RL,CF:0.2000000000 | GPS:0.2000000000 | KORS:0.2000000000 | MU:0.2000000000 | RL:0.2000000000,2017-11-02,494
2017,45,2017-11-06,2017-11-10,2017-11-08,,2017-11-07,1.0,0.0,5,GPS | MU | MYL | PRGO | RRC,GPS:0.2000000000 | MU:0.2000000000 | MYL:0.2000000000 | PRGO:0.2000000000 | RRC:0.2000000000,2017-11-10,494
2017,46,2017-11-13,2017-11-17,2017-11-15,,2017-11-14,1.0,0.0,5,CF | GPS | MRO | MU | MYL,CF:0.2000000000 | GPS:0.2000000000 | MRO:0.2000000000 | MU:0.2000000000 | MYL:0.2000000000,2017-11-10,495
2017,47,2017-11-20,2017-11-24,2017-11-22,,2017-11-21,1.0,0.0,5,CF | MU | MYL | SIG | STX,CF:0.2000000000 | MU:0.2000000000 | MYL:0.2000000000 | SIG:0.2000000000 | STX:0.2000000000,2017-11-22,495
2017,48,2017-11-27,2017-12-01,2017-11-30,,2017-11-29,1.0,0.0,5,ALGN | CF | MRO | MU | MYL,ALGN:0.2000000000 | CF:0.2000000000 | MRO:0.2000000000 | MU:0.2000000000 | MYL:0.2000000000,2017-11-30,495
2017,49,2017-12-04,2017-12-08,2017-12-07,,2017-12-06,1.0,0.0,5,ALGN | KORS | LB | MRO | MU,ALGN:0.2000000000 | KORS:0.2000000000 | LB:0.2000000000 | MRO:0.2000000000 | MU:0.2000000000,2017-12-06,496
2017,50,2017-12-11,2017-12-15,2017-12-14,,2017-12-13,1.0,0.0,5,ALGN | KORS | LB | MRO | MU,ALGN:0.2000000000 | KORS:0.2000000000 | LB:0.2000000000 | MRO:0.2000000000 | MU:0.2000000000,2017-12-14,496
2017,51,2017-12-18,2017-12-22,2017-12-21,,2017-12-20,1.0,0.0,5,ALGN | KORS | LB | MAT | MU,ALGN:0.2000000000 | KORS:0.2000000000 | LB:0.2000000000 | MAT:0.2000000000 | MU:0.2000000000,2017-12-14,496
2017,52,2017-12-26,2017-12-29,2017-12-29,,2017-12-28,1.0,0.0,5,ALGN | KORS | LB | MAT | MU,ALGN:0.2000000000 | KORS:0.2000000000 | LB:0.2000000000 | MAT:0.2000000000 | MU:0.2000000000,2017-12-29,495
