year,iso_week,week_first_session,week_last_session,rebalance_dates,forced_exit_dates,week_end_source_signal_date,gross_target,cash_target,position_count,held_at_week_end,target_weights_at_week_end,constituent_snapshot_date,tradable_constituent_count
2012,28,2012-07-09,2012-07-13,2012-07-13,,2012-07-12,1.0,0.0,5,CBE | EW | EXPE | SUN | TRIP,CBE:0.2000000000 | EW:0.2000000000 | EXPE:0.2000000000 | SUN:0.2000000000 | TRIP:0.2000000000,2012-07-13,468
2012,29,2012-07-16,2012-07-20,2012-07-20,,2012-07-19,1.0,0.0,5,EW | EXPE | S | SUN | TRIP,EW:0.2000000000 | EXPE:0.2000000000 | S:0.2000000000 | SUN:0.2000000000 | TRIP:0.2000000000,2012-07-16,468
2012,30,2012-07-23,2012-07-27,2012-07-27,,2012-07-26,1.0,0.0,5,EW | EXPE | S | SUN | TRIP,EW:0.2000000000 | EXPE:0.2000000000 | S:0.2000000000 | SUN:0.2000000000 | TRIP:0.2000000000,2012-07-27,467
2012,31,2012-07-30,2012-08-03,2012-08-03,,2012-08-02,1.0,0.0,5,EW | EXPE | S | STZ | TRIP,EW:0.2000000000 | EXPE:0.2000000000 | S:0.2000000000 | STZ:0.2000000000 | TRIP:0.2000000000,2012-08-03,468
2012,32,2012-08-06,2012-08-10,2012-08-10,,2012-08-09,1.0,0.0,5,EW | EXPE | FTR | S | STZ,EW:0.2000000000 | EXPE:0.2000000000 | FTR:0.2000000000 | S:0.2000000000 | STZ:0.2000000000,2012-08-07,468
2012,33,2012-08-13,2012-08-17,2012-08-17,,2012-08-16,1.0,0.0,5,CF | CHK | PHM | S | STZ,CF:0.2000000000 | CHK:0.2000000000 | PHM:0.2000000000 | S:0.2000000000 | STZ:0.2000000000,2012-08-15,468
2012,34,2012-08-20,2012-08-24,2012-08-24,,2012-08-23,1.0,0.0,5,CF | CVC | S | SNDK | STZ,CF:0.2000000000 | CVC:0.2000000000 | S:0.2000000000 | SNDK:0.2000000000 | STZ:0.2000000000,2012-08-23,468
2012,35,2012-08-27,2012-08-31,2012-08-31,,2012-08-30,1.0,0.0,5,PHM | S | SNDK | STX | STZ,PHM:0.2000000000 | S:0.2000000000 | SNDK:0.2000000000 | STX:0.2000000000 | STZ:0.2000000000,2012-08-23,468
2012,36,2012-09-04,2012-09-07,,,2012-08-30,1.0,0.0,5,PHM | S | SNDK | STX | STZ,PHM:0.2000000000 | S:0.2000000000 | SNDK:0.2000000000 | STX:0.2000000000 | STZ:0.2000000000,2012-09-07,468
2012,37,2012-09-10,2012-09-14,2012-09-10,,2012-09-07,1.0,0.0,5,FSLR | PHM | S | STX | STZ,FSLR:0.2000000000 | PHM:0.2000000000 | S:0.2000000000 | STX:0.2000000000 | STZ:0.2000000000,2012-09-13,468
2012,38,2012-09-17,2012-09-21,2012-09-17,,2012-09-14,1.0,0.0,5,FSLR | PHM | S | STX | STZ,FSLR:0.2000000000 | PHM:0.2000000000 | S:0.2000000000 | STX:0.2000000000 | STZ:0.2000000000,2012-09-13,468
