year,iso_week,week_first_session,week_last_session,rebalance_dates,forced_exit_dates,week_end_source_signal_date,gross_target,cash_target,position_count,held_at_week_end,target_weights_at_week_end,constituent_snapshot_date,tradable_constituent_count
2008,1,2008-01-02,2008-12-31,2008-01-04 | 2008-12-31,,2008-12-30,0.5,0.5,5,FHN | NCC | RF | SWN | WB,FHN:0.1000000000 | NCC:0.1000000000 | RF:0.1000000000 | SWN:0.1000000000 | WB:0.1000000000,2008-12-29,464
2008,2,2008-01-07,2008-01-11,2008-01-11,,2008-01-10,1.0,0.0,5,APOL | CNX | MON | THC | TT,APOL:0.2000000000 | CNX:0.2000000000 | MON:0.2000000000 | THC:0.2000000000 | TT:0.2000000000,2008-01-07,455
2008,3,2008-01-14,2008-01-18,2008-01-18,,2008-01-17,0.5,0.5,5,APOL | CNX | MON | THC | TT,APOL:0.1000000000 | CNX:0.1000000000 | MON:0.1000000000 | THC:0.1000000000 | TT:0.1000000000,2008-01-15,455
2008,4,2008-01-22,2008-01-25,,,2008-01-17,0.5,0.5,5,APOL | CNX | MON | THC | TT,APOL:0.1000000000 | CNX:0.1000000000 | MON:0.1000000000 | THC:0.1000000000 | TT:0.1000000000,2008-01-24,455
2008,5,2008-01-28,2008-02-01,2008-01-28,,2008-01-25,0.5,0.5,5,CNX | HES | MON | THC | TT,CNX:0.1000000000 | HES:0.1000000000 | MON:0.1000000000 | THC:0.1000000000 | TT:0.1000000000,2008-01-30,454
2008,6,2008-02-04,2008-02-08,2008-02-04,,2008-02-01,0.5,0.5,5,CNX | HES | MON | THC | TT,CNX:0.1000000000 | HES:0.1000000000 | MON:0.1000000000 | THC:0.1000000000 | TT:0.1000000000,2008-02-05,454
2008,7,2008-02-11,2008-02-15,2008-02-11,,2008-02-08,0.5,0.5,5,CNX | HES | MON | THC | TT,CNX:0.1000000000 | HES:0.1000000000 | MON:0.1000000000 | THC:0.1000000000 | TT:0.1000000000,2008-02-13,454
2008,8,2008-02-19,2008-02-22,2008-02-19,,2008-02-15,0.5,0.5,5,CNX | HES | MON | THC | TT,CNX:0.1000000000 | HES:0.1000000000 | MON:0.1000000000 | THC:0.1000000000 | TT:0.1000000000,2008-02-19,454
2008,9,2008-02-25,2008-02-29,2008-02-26,,2008-02-25,0.5,0.5,5,CNX | HES | MON | THC | TT,CNX:0.1000000000 | HES:0.1000000000 | MON:0.1000000000 | THC:0.1000000000 | TT:0.1000000000,2008-02-27,453
2008,10,2008-03-03,2008-03-07,2008-03-04,,2008-03-03,0.5,0.5,5,CNX | HES | JAVA | PHM | TT,CNX:0.1000000000 | HES:0.1000000000 | JAVA:0.1000000000 | PHM:0.1000000000 | TT:0.1000000000,2008-02-27,454
2008,11,2008-03-10,2008-03-14,2008-03-11,,2008-03-10,0.5,0.5,5,CNX | HES | JAVA | PHM | TT,CNX:0.1000000000 | HES:0.1000000000 | JAVA:0.1000000000 | PHM:0.1000000000 | TT:0.1000000000,2008-03-14,454
2008,12,2008-03-17,2008-03-20,2008-03-18,,2008-03-17,0.5,0.5,5,CNX | ETFC | PHM | RRC | TT,CNX:0.1000000000 | ETFC:0.1000000000 | PHM:0.1000000000 | RRC:0.1000000000 | TT:0.1000000000,2008-03-18,453
2008,13,2008-03-24,2008-03-28,2008-03-26,,2008-03-25,0.5,0.5,5,DHI | ETFC | PHM | RRC | WM,DHI:0.1000000000 | ETFC:0.1000000000 | PHM:0.1000000000 | RRC:0.1000000000 | WM:0.1000000000,2008-03-18,453
2008,14,2008-03-31,2008-04-04,2008-04-02,,2008-04-01,0.5,0.5,5,ETFC | KBH | PHM | RRC | WM,ETFC:0.1000000000 | KBH:0.1000000000 | PHM:0.1000000000 | RRC:0.1000000000 | WM:0.1000000000,2008-04-04,454
2008,15,2008-04-07,2008-04-11,2008-04-09,,2008-04-08,0.5,0.5,5,BIG | DHI | ETFC | KBH | PHM,BIG:0.1000000000 | DHI:0.1000000000 | ETFC:0.1000000000 | KBH:0.1000000000 | PHM:0.1000000000,2008-04-08,455
2008,16,2008-04-14,2008-04-18,2008-04-16,,2008-04-15,0.5,0.5,5,BIG | DHI | DRI | KBH | PHM,BIG:0.1000000000 | DHI:0.1000000000 | DRI:0.1000000000 | KBH:0.1000000000 | PHM:0.1000000000,2008-04-18,455
2008,17,2008-04-21,2008-04-25,2008-04-23,,2008-04-22,0.5,0.5,5,BIG | DHI | DRI | KBH | PHM,BIG:0.1000000000 | DHI:0.1000000000 | DRI:0.1000000000 | KBH:0.1000000000 | PHM:0.1000000000,2008-04-25,454
2008,18,2008-04-28,2008-05-02,2008-04-30,,2008-04-29,0.5,0.5,5,BIG | DRI | RRC | THC | X,BIG:0.1000000000 | DRI:0.1000000000 | RRC:0.1000000000 | THC:0.1000000000 | X:0.1000000000,2008-04-28,455
2008,19,2008-05-05,2008-05-09,2008-05-07,,2008-05-06,0.5,0.5,5,BIG | CIEN | DRI | RRC | X,BIG:0.1000000000 | CIEN:0.1000000000 | DRI:0.1000000000 | RRC:0.1000000000 | X:0.1000000000,2008-05-08,455
2008,20,2008-05-12,2008-05-16,2008-05-14,,2008-05-13,0.5,0.5,5,BIG | CIEN | FLR | THC | X,BIG:0.1000000000 | CIEN:0.1000000000 | FLR:0.1000000000 | THC:0.1000000000 | X:0.1000000000,2008-05-16,455
2008,21,2008-05-19,2008-05-23,2008-05-21,,2008-05-20,0.5,0.5,5,BIG | CIEN | FLR | THC | X,BIG:0.1000000000 | CIEN:0.1000000000 | FLR:0.1000000000 | THC:0.1000000000 | X:0.1000000000,2008-05-16,455
2008,22,2008-05-27,2008-05-30,2008-05-29,,2008-05-28,0.5,0.5,5,BIG | CIEN | SAF | THC | X,BIG:0.1000000000 | CIEN:0.1000000000 | SAF:0.1000000000 | THC:0.1000000000 | X:0.1000000000,2008-05-29,455
2008,23,2008-06-02,2008-06-06,2008-06-05,,2008-06-04,0.5,0.5,5,BIG | BRCM | CMI | SAF | X,BIG:0.1000000000 | BRCM:0.1000000000 | CMI:0.1000000000 | SAF:0.1000000000 | X:0.1000000000,2008-06-06,455
2008,24,2008-06-09,2008-06-13,2008-06-12,,2008-06-11,0.5,0.5,5,BIG | BRCM | S | SAF | X,BIG:0.1000000000 | BRCM:0.1000000000 | S:0.1000000000 | SAF:0.1000000000 | X:0.1000000000,2008-06-12,456
2008,25,2008-06-16,2008-06-20,2008-06-19,,2008-06-18,0.5,0.5,5,BRCM | CNX | S | SAF | X,BRCM:0.1000000000 | CNX:0.1000000000 | S:0.1000000000 | SAF:0.1000000000 | X:0.1000000000,2008-06-18,456
2008,26,2008-06-23,2008-06-27,2008-06-26,,2008-06-25,0.5,0.5,5,BRCM | CNX | MEE | SAF | SLM,BRCM:0.1000000000 | CNX:0.1000000000 | MEE:0.1000000000 | SAF:0.1000000000 | SLM:0.1000000000,2008-06-26,457
2008,27,2008-06-30,2008-07-03,2008-07-03,,2008-07-02,0.5,0.5,5,BRCM | CNX | MEE | S | SAF,BRCM:0.1000000000 | CNX:0.1000000000 | MEE:0.1000000000 | S:0.1000000000 | SAF:0.1000000000,2008-07-02,456
2008,28,2008-07-07,2008-07-11,2008-07-11,,2008-07-10,0.5,0.5,5,BIG | CNX | MEE | S | SAF,BIG:0.1000000000 | CNX:0.1000000000 | MEE:0.1000000000 | S:0.1000000000 | SAF:0.1000000000,2008-07-09,456
2008,29,2008-07-14,2008-07-18,2008-07-18,,2008-07-17,0.5,0.5,5,BIG | CNX | MEE | S | SAF,BIG:0.1000000000 | CNX:0.1000000000 | MEE:0.1000000000 | S:0.1000000000 | SAF:0.1000000000,2008-07-18,458
2008,30,2008-07-21,2008-07-25,2008-07-25,,2008-07-24,0.5,0.5,5,BIG | CNX | JBL | L | MEE,BIG:0.1000000000 | CNX:0.1000000000 | JBL:0.1000000000 | L:0.1000000000 | MEE:0.1000000000,2008-07-21,458
2008,31,2008-07-28,2008-08-01,2008-08-01,,2008-07-31,0.5,0.5,5,CNX | JBL | L | MEE | NOV,CNX:0.1000000000 | JBL:0.1000000000 | L:0.1000000000 | MEE:0.1000000000 | NOV:0.1000000000,2008-08-01,458
2008,32,2008-08-04,2008-08-08,2008-08-08,,2008-08-07,0.5,0.5,5,APOL | BIG | JBL | L | MEE,APOL:0.1000000000 | BIG:0.1000000000 | JBL:0.1000000000 | L:0.1000000000 | MEE:0.1000000000,2008-08-06,459
2008,33,2008-08-11,2008-08-15,2008-08-15,,2008-08-14,0.5,0.5,5,APOL | JBL | L | MEE | ROH,APOL:0.1000000000 | JBL:0.1000000000 | L:0.1000000000 | MEE:0.1000000000 | ROH:0.1000000000,2008-08-06,459
2008,34,2008-08-18,2008-08-22,2008-08-22,,2008-08-21,0.5,0.5,5,APOL | BRL | JBL | L | ROH,APOL:0.1000000000 | BRL:0.1000000000 | JBL:0.1000000000 | L:0.1000000000 | ROH:0.1000000000,2008-08-22,460
2008,35,2008-08-25,2008-08-29,2008-08-29,,2008-08-28,0.5,0.5,5,APOL | BRL | JBL | L | ROH,APOL:0.1000000000 | BRL:0.1000000000 | JBL:0.1000000000 | L:0.1000000000 | ROH:0.1000000000,2008-08-28,460
