effective_session,source_signal_date,rebalance_at_open,forced_universe_exit_at_open,buy,sell,held_during_session,target_weights,gross_target,cash_target
2014-11-03,2014-10-31,True,False,MNK,THC,AVGO | MNK | MNST | SIAL | VRTX,AVGO:0.2000000000 | MNK:0.2000000000 | MNST:0.2000000000 | SIAL:0.2000000000 | VRTX:0.2000000000,1.0,0.0
2014-11-17,2014-11-14,True,False,CFN | GMCR,AVGO | MNST,CFN | GMCR | MNK | SIAL | VRTX,CFN:0.2000000000 | GMCR:0.2000000000 | MNK:0.2000000000 | SIAL:0.2000000000 | VRTX:0.2000000000,1.0,0.0
2014-11-24,2014-11-21,True,False,MNST,GMCR,CFN | MNK | MNST | SIAL | VRTX,CFN:0.2000000000 | MNK:0.2000000000 | MNST:0.2000000000 | SIAL:0.2000000000 | VRTX:0.2000000000,1.0,0.0
2014-12-09,2014-12-08,True,False,ALXN | GMCR,MNK | MNST,ALXN | CFN | GMCR | SIAL | VRTX,ALXN:0.2000000000 | CFN:0.2000000000 | GMCR:0.2000000000 | SIAL:0.2000000000 | VRTX:0.2000000000,1.0,0.0
2014-12-16,2014-12-15,True,False,MNST,GMCR,ALXN | CFN | MNST | SIAL | VRTX,ALXN:0.2000000000 | CFN:0.2000000000 | MNST:0.2000000000 | SIAL:0.2000000000 | VRTX:0.2000000000,1.0,0.0
2014-12-23,2014-12-22,True,False,EW | TSCO,SIAL | VRTX,ALXN | CFN | EW | MNST | TSCO,ALXN:0.2000000000 | CFN:0.2000000000 | EW:0.2000000000 | MNST:0.2000000000 | TSCO:0.2000000000,1.0,0.0
2014-12-31,2014-12-30,True,False,DAL,ALXN,CFN | DAL | EW | MNST | TSCO,CFN:0.2000000000 | DAL:0.2000000000 | EW:0.2000000000 | MNST:0.2000000000 | TSCO:0.2000000000,1.0,0.0
2015-01-08,2015-01-07,True,False,AVGO | EA | KMX,CFN | EW | MNST,AVGO | DAL | EA | KMX | TSCO,AVGO:0.2000000000 | DAL:0.2000000000 | EA:0.2000000000 | KMX:0.2000000000 | TSCO:0.2000000000,1.0,0.0
2015-01-30,2015-01-29,True,False,SPLS,TSCO,AVGO | DAL | EA | KMX | SPLS,AVGO:0.2000000000 | DAL:0.2000000000 | EA:0.2000000000 | KMX:0.2000000000 | SPLS:0.2000000000,1.0,0.0
2015-02-06,2015-02-05,True,False,RCL,DAL,AVGO | EA | KMX | RCL | SPLS,AVGO:0.2000000000 | EA:0.2000000000 | KMX:0.2000000000 | RCL:0.2000000000 | SPLS:0.2000000000,1.0,0.0
2015-02-23,2015-02-20,True,False,NEM,EA,AVGO | KMX | NEM | RCL | SPLS,AVGO:0.2000000000 | KMX:0.2000000000 | NEM:0.2000000000 | RCL:0.2000000000 | SPLS:0.2000000000,1.0,0.0
