effective_session,source_signal_date,rebalance_at_open,forced_universe_exit_at_open,buy,sell,held_during_session,target_weights,gross_target,cash_target
2000-01-03,1999-12-28,False,False,CTXS | GTW | NTAP | ORCL | QCOM,,CTXS | GTW | NTAP | ORCL | QCOM,CTXS:0.2000000000 | GTW:0.2000000000 | NTAP:0.2000000000 | ORCL:0.2000000000 | QCOM:0.2000000000,1.0,0.0
2000-01-05,2000-01-04,True,False,FBF,GTW,CTXS | FBF | NTAP | ORCL | QCOM,CTXS:0.2000000000 | FBF:0.2000000000 | NTAP:0.2000000000 | ORCL:0.2000000000 | QCOM:0.2000000000,1.0,0.0
2000-02-10,2000-02-09,True,False,NOVL,CTXS,FBF | NOVL | NTAP | ORCL | QCOM,FBF:0.2000000000 | NOVL:0.2000000000 | NTAP:0.2000000000 | ORCL:0.2000000000 | QCOM:0.2000000000,1.0,0.0
2000-02-25,2000-02-24,True,False,LB | MS,FBF | ORCL,LB | MS | NOVL | NTAP | QCOM,LB:0.2000000000 | MS:0.2000000000 | NOVL:0.2000000000 | NTAP:0.2000000000 | QCOM:0.2000000000,1.0,0.0
2000-03-10,2000-03-09,True,False,QTRN,QCOM,LB | MS | NOVL | NTAP | QTRN,LB:0.2000000000 | MS:0.2000000000 | NOVL:0.2000000000 | NTAP:0.2000000000 | QTRN:0.2000000000,1.0,0.0
2000-03-17,2000-03-16,True,False,CNXT,QTRN,CNXT | LB | MS | NOVL | NTAP,CNXT:0.2000000000 | LB:0.2000000000 | MS:0.2000000000 | NOVL:0.2000000000 | NTAP:0.2000000000,1.0,0.0
2000-03-24,2000-03-23,True,False,ADI,NOVL,ADI | CNXT | LB | MS | NTAP,ADI:0.2000000000 | CNXT:0.2000000000 | LB:0.2000000000 | MS:0.2000000000 | NTAP:0.2000000000,1.0,0.0
2000-03-31,2000-03-30,True,False,COMS | LSI,CNXT | LB,ADI | COMS | LSI | MS | NTAP,ADI:0.2000000000 | COMS:0.2000000000 | LSI:0.2000000000 | MS:0.2000000000 | NTAP:0.2000000000,1.0,0.0
2000-04-07,2000-04-06,True,False,SFA,COMS,ADI | LSI | MS | NTAP | SFA,ADI:0.2000000000 | LSI:0.2000000000 | MS:0.2000000000 | NTAP:0.2000000000 | SFA:0.2000000000,1.0,0.0
2000-04-14,2000-04-13,True,False,ADSK,ADI,ADSK | LSI | MS | NTAP | SFA,ADSK:0.2000000000 | LSI:0.2000000000 | MS:0.2000000000 | NTAP:0.2000000000 | SFA:0.2000000000,1.0,0.0
2000-05-01,2000-04-28,True,False,MU,ADSK,LSI | MS | MU | NTAP | SFA,LSI:0.2000000000 | MS:0.2000000000 | MU:0.2000000000 | NTAP:0.2000000000 | SFA:0.2000000000,1.0,0.0
2000-05-08,2000-05-05,True,False,AMD | MSI | TMC,MS | NTAP | SFA,AMD | LSI | MSI | MU | TMC,AMD:0.2000000000 | LSI:0.2000000000 | MSI:0.2000000000 | MU:0.2000000000 | TMC:0.2000000000,1.0,0.0
2000-05-15,2000-05-12,True,False,MIR | NGH,LSI | MSI,AMD | MIR | MU | NGH | TMC,AMD:0.2000000000 | MIR:0.2000000000 | MU:0.2000000000 | NGH:0.2000000000 | TMC:0.2000000000,1.0,0.0
2000-05-22,2000-05-19,True,False,RBK,NGH,AMD | MIR | MU | RBK | TMC,AMD:0.2000000000 | MIR:0.2000000000 | MU:0.2000000000 | RBK:0.2000000000 | TMC:0.2000000000,1.0,0.0
2000-05-30,2000-05-26,True,False,BBY,MIR,AMD | BBY | MU | RBK | TMC,AMD:0.2000000000 | BBY:0.2000000000 | MU:0.2000000000 | RBK:0.2000000000 | TMC:0.2000000000,1.0,0.0
2000-06-06,2000-06-05,True,False,NGH | UPR,BBY | MU,AMD | NGH | RBK | TMC | UPR,AMD:0.2000000000 | NGH:0.2000000000 | RBK:0.2000000000 | TMC:0.2000000000 | UPR:0.2000000000,1.0,0.0
2000-06-13,2000-06-12,True,False,BBBY,TMC,AMD | BBBY | NGH | RBK | UPR,AMD:0.2000000000 | BBBY:0.2000000000 | NGH:0.2000000000 | RBK:0.2000000000 | UPR:0.2000000000,1.0,0.0
2000-06-20,2000-06-19,True,False,UNM,BBBY,AMD | NGH | RBK | UNM | UPR,AMD:0.2000000000 | NGH:0.2000000000 | RBK:0.2000000000 | UNM:0.2000000000 | UPR:0.2000000000,1.0,0.0
2000-06-27,2000-06-26,True,False,AW,AMD,AW | NGH | RBK | UNM | UPR,AW:0.2000000000 | NGH:0.2000000000 | RBK:0.2000000000 | UNM:0.2000000000 | UPR:0.2000000000,1.0,0.0
2000-07-05,2000-07-03,True,False,BEAM,UPR,AW | BEAM | NGH | RBK | UNM,AW:0.2000000000 | BEAM:0.2000000000 | NGH:0.2000000000 | RBK:0.2000000000 | UNM:0.2000000000,1.0,0.0
2000-07-12,2000-07-11,True,False,ADCT | MS,RBK | UNM,ADCT | AW | BEAM | MS | NGH,ADCT:0.2000000000 | AW:0.2000000000 | BEAM:0.2000000000 | MS:0.2000000000 | NGH:0.2000000000,1.0,0.0
2000-07-19,2000-07-18,True,False,SAPE,AW,ADCT | BEAM | MS | NGH | SAPE,ADCT:0.2000000000 | BEAM:0.2000000000 | MS:0.2000000000 | NGH:0.2000000000 | SAPE:0.2000000000,1.0,0.0
2000-08-09,2000-08-08,True,False,CNC | MU | SANM,ADCT | NGH | SAPE,BEAM | CNC | MS | MU | SANM,BEAM:0.2000000000 | CNC:0.2000000000 | MS:0.2000000000 | MU:0.2000000000 | SANM:0.2000000000,1.0,0.0
2000-08-16,2000-08-15,True,False,BRCM,MS,BEAM | BRCM | CNC | MU | SANM,BEAM:0.2000000000 | BRCM:0.2000000000 | CNC:0.2000000000 | MU:0.2000000000 | SANM:0.2000000000,1.0,0.0
2000-08-23,2000-08-22,True,False,MS,MU,BEAM | BRCM | CNC | MS | SANM,BEAM:0.2000000000 | BRCM:0.2000000000 | CNC:0.2000000000 | MS:0.2000000000 | SANM:0.2000000000,1.0,0.0
2000-08-30,2000-08-29,True,False,PALM | PSFT,BEAM | CNC,BRCM | MS | PALM | PSFT | SANM,BRCM:0.2000000000 | MS:0.2000000000 | PALM:0.2000000000 | PSFT:0.2000000000 | SANM:0.2000000000,1.0,0.0
2000-09-07,2000-09-06,True,False,HCR,MS,BRCM | HCR | PALM | PSFT | SANM,BRCM:0.2000000000 | HCR:0.2000000000 | PALM:0.2000000000 | PSFT:0.2000000000 | SANM:0.2000000000,1.0,0.0
2000-09-28,2000-09-27,True,False,LB,SANM,BRCM | HCR | LB | PALM | PSFT,BRCM:0.2000000000 | HCR:0.2000000000 | LB:0.2000000000 | PALM:0.2000000000 | PSFT:0.2000000000,1.0,0.0
2000-10-05,2000-10-04,True,False,NTAP | PWJ,BRCM | PALM,HCR | LB | NTAP | PSFT | PWJ,HCR:0.2000000000 | LB:0.2000000000 | NTAP:0.2000000000 | PSFT:0.2000000000 | PWJ:0.2000000000,1.0,0.0
2000-10-12,2000-10-11,True,False,BSC | PALM,NTAP | PWJ,BSC | HCR | LB | PALM | PSFT,BSC:0.2000000000 | HCR:0.2000000000 | LB:0.2000000000 | PALM:0.2000000000 | PSFT:0.2000000000,1.0,0.0
2000-10-19,2000-10-18,True,False,UIS,PSFT,BSC | HCR | LB | PALM | UIS,BSC:0.2000000000 | HCR:0.2000000000 | LB:0.2000000000 | PALM:0.2000000000 | UIS:0.2000000000,1.0,0.0
2000-10-26,2000-10-25,True,False,MERQ | SEBL | VRTS,BSC | LB | UIS,HCR | MERQ | PALM | SEBL | VRTS,HCR:0.2000000000 | MERQ:0.2000000000 | PALM:0.2000000000 | SEBL:0.2000000000 | VRTS:0.2000000000,1.0,0.0
2000-11-02,2000-11-01,True,False,ADI | HUM | MDR | NTAP,HCR | PALM | SEBL | VRTS,ADI | HUM | MDR | MERQ | NTAP,ADI:0.2000000000 | HUM:0.2000000000 | MDR:0.2000000000 | MERQ:0.2000000000 | NTAP:0.2000000000,1.0,0.0
2000-11-09,2000-11-08,True,False,PSFT | VRTS,ADI | MERQ,HUM | MDR | NTAP | PSFT | VRTS,HUM:0.2000000000 | MDR:0.2000000000 | NTAP:0.2000000000 | PSFT:0.2000000000 | VRTS:0.2000000000,1.0,0.0
2000-11-16,2000-11-15,True,False,PALM,HUM,MDR | NTAP | PALM | PSFT | VRTS,MDR:0.1000000000 | NTAP:0.1000000000 | PALM:0.1000000000 | PSFT:0.1000000000 | VRTS:0.1000000000,0.5,0.5
2000-11-24,2000-11-22,True,False,BBBY | HUM,MDR | VRTS,BBBY | HUM | NTAP | PALM | PSFT,BBBY:0.1000000000 | HUM:0.1000000000 | NTAP:0.1000000000 | PALM:0.1000000000 | PSFT:0.1000000000,0.5,0.5
2000-12-01,2000-11-30,True,False,HON | KG,NTAP | PALM,BBBY | HON | HUM | KG | PSFT,BBBY:0.1000000000 | HON:0.1000000000 | HUM:0.1000000000 | KG:0.1000000000 | PSFT:0.1000000000,0.5,0.5
2000-12-08,2000-12-07,True,False,PALM,BBBY,HON | HUM | KG | PALM | PSFT,HON:0.1000000000 | HUM:0.1000000000 | KG:0.1000000000 | PALM:0.1000000000 | PSFT:0.1000000000,0.5,0.5
2000-12-15,2000-12-14,True,False,ABI | WLL,PALM | PSFT,ABI | HON | HUM | KG | WLL,ABI:0.1000000000 | HON:0.1000000000 | HUM:0.1000000000 | KG:0.1000000000 | WLL:0.1000000000,0.5,0.5
2000-12-22,2000-12-21,True,False,CTXS,HUM,ABI | CTXS | HON | KG | WLL,ABI:0.1000000000 | CTXS:0.1000000000 | HON:0.1000000000 | KG:0.1000000000 | WLL:0.1000000000,0.5,0.5
2001-01-02,2000-12-29,True,False,AW | PSFT,ABI | CTXS,AW | HON | KG | PSFT | WLL,AW:0.1000000000 | HON:0.1000000000 | KG:0.1000000000 | PSFT:0.1000000000 | WLL:0.1000000000,0.5,0.5
2001-01-09,2001-01-08,True,False,ABI | ADP,KG | PSFT,ABI | ADP | AW | HON | WLL,ABI:0.1000000000 | ADP:0.1000000000 | AW:0.1000000000 | HON:0.1000000000 | WLL:0.1000000000,0.5,0.5
2001-01-24,2001-01-23,True,False,CNC,HON,ABI | ADP | AW | CNC | WLL,ABI:0.1000000000 | ADP:0.1000000000 | AW:0.1000000000 | CNC:0.1000000000 | WLL:0.1000000000,0.5,0.5
2001-01-31,2001-01-30,True,False,QTRN,WLL,ABI | ADP | AW | CNC | QTRN,ABI:0.1000000000 | ADP:0.1000000000 | AW:0.1000000000 | CNC:0.1000000000 | QTRN:0.1000000000,0.5,0.5
2001-02-07,2001-02-06,True,False,LPX,QTRN,ABI | ADP | AW | CNC | LPX,ABI:0.1000000000 | ADP:0.1000000000 | AW:0.1000000000 | CNC:0.1000000000 | LPX:0.1000000000,0.5,0.5
2001-02-14,2001-02-13,True,False,KLAC | NVLS,AW | LPX,ABI | ADP | CNC | KLAC | NVLS,ABI:0.1000000000 | ADP:0.1000000000 | CNC:0.1000000000 | KLAC:0.1000000000 | NVLS:0.1000000000,0.5,0.5
2001-03-01,2001-02-28,True,False,AMCC | BBY,KLAC | NVLS,ABI | ADP | AMCC | BBY | CNC,ABI:0.1000000000 | ADP:0.1000000000 | AMCC:0.1000000000 | BBY:0.1000000000 | CNC:0.1000000000,0.5,0.5
2001-03-08,2001-03-07,True,False,MDR | OMX | XRX,ABI | ADP | AMCC,BBY | CNC | MDR | OMX | XRX,BBY:0.1000000000 | CNC:0.1000000000 | MDR:0.1000000000 | OMX:0.1000000000 | XRX:0.1000000000,0.5,0.5
2001-03-15,2001-03-14,True,False,CPWR,XRX,BBY | CNC | CPWR | MDR | OMX,BBY:0.1000000000 | CNC:0.1000000000 | CPWR:0.1000000000 | MDR:0.1000000000 | OMX:0.1000000000,0.5,0.5
2001-03-22,2001-03-21,True,False,CMI,OMX,BBY | CMI | CNC | CPWR | MDR,BBY:0.1000000000 | CMI:0.1000000000 | CNC:0.1000000000 | CPWR:0.1000000000 | MDR:0.1000000000,0.5,0.5
2001-03-29,2001-03-28,True,False,AMD | CA | JCP,CMI | CNC | MDR,AMD | BBY | CA | CPWR | JCP,AMD:0.1000000000 | BBY:0.1000000000 | CA:0.1000000000 | CPWR:0.1000000000 | JCP:0.1000000000,0.5,0.5
2001-04-05,2001-04-04,True,False,AM | SBL | SFA,BBY | CA | JCP,AM | AMD | CPWR | SBL | SFA,AM:0.1000000000 | AMD:0.1000000000 | CPWR:0.1000000000 | SBL:0.1000000000 | SFA:0.1000000000,0.5,0.5
2001-04-12,2001-04-11,True,False,EIX | HM | JCP,AM | CPWR | SFA,AMD | EIX | HM | JCP | SBL,AMD:0.1000000000 | EIX:0.1000000000 | HM:0.1000000000 | JCP:0.1000000000 | SBL:0.1000000000,0.5,0.5
2001-04-20,2001-04-19,True,False,LOW | PCG,AMD | HM,EIX | JCP | LOW | PCG | SBL,EIX:0.1000000000 | JCP:0.1000000000 | LOW:0.1000000000 | PCG:0.1000000000 | SBL:0.1000000000,0.5,0.5
2001-04-27,2001-04-26,True,False,AMD | DDS,PCG | SBL,AMD | DDS | EIX | JCP | LOW,AMD:0.1000000000 | DDS:0.1000000000 | EIX:0.1000000000 | JCP:0.1000000000 | LOW:0.1000000000,0.5,0.5
2001-05-04,2001-05-03,True,False,FLR | LDG | MIR | SRE,AMD | EIX | JCP | LOW,DDS | FLR | LDG | MIR | SRE,DDS:0.1000000000 | FLR:0.1000000000 | LDG:0.1000000000 | MIR:0.1000000000 | SRE:0.1000000000,0.5,0.5
2001-05-11,2001-05-10,True,False,ADBE | BBY | HM,FLR | LDG | SRE,ADBE | BBY | DDS | HM | MIR,ADBE:0.1000000000 | BBY:0.1000000000 | DDS:0.1000000000 | HM:0.1000000000 | MIR:0.1000000000,0.5,0.5
2001-05-18,2001-05-17,True,False,BMC,DDS,ADBE | BBY | BMC | HM | MIR,ADBE:0.1000000000 | BBY:0.1000000000 | BMC:0.1000000000 | HM:0.1000000000 | MIR:0.1000000000,0.5,0.5
2001-05-25,2001-05-24,True,False,CNC | PHM | XRX,BMC | HM | MIR,ADBE | BBY | CNC | PHM | XRX,ADBE:0.1000000000 | BBY:0.1000000000 | CNC:0.1000000000 | PHM:0.1000000000 | XRX:0.1000000000,0.5,0.5
2001-06-04,2001-06-01,True,False,JBL,PHM,ADBE | BBY | CNC | JBL | XRX,ADBE:0.1000000000 | BBY:0.1000000000 | CNC:0.1000000000 | JBL:0.1000000000 | XRX:0.1000000000,0.5,0.5
2001-06-11,2001-06-08,True,False,MERQ | QLGC,BBY | CNC,ADBE | JBL | MERQ | QLGC | XRX,ADBE:0.1000000000 | JBL:0.1000000000 | MERQ:0.1000000000 | QLGC:0.1000000000 | XRX:0.1000000000,0.5,0.5
2001-06-25,2001-06-22,True,False,SEBL,ADBE,JBL | MERQ | QLGC | SEBL | XRX,JBL:0.1000000000 | MERQ:0.1000000000 | QLGC:0.1000000000 | SEBL:0.1000000000 | XRX:0.1000000000,0.5,0.5
2001-07-02,2001-06-29,True,False,PSFT,JBL,MERQ | PSFT | QLGC | SEBL | XRX,MERQ:0.1000000000 | PSFT:0.1000000000 | QLGC:0.1000000000 | SEBL:0.1000000000 | XRX:0.1000000000,0.5,0.5
2001-07-17,2001-07-16,True,False,CMI | PTC,MERQ | SEBL,CMI | PSFT | PTC | QLGC | XRX,CMI:0.1000000000 | PSFT:0.1000000000 | PTC:0.1000000000 | QLGC:0.1000000000 | XRX:0.1000000000,0.5,0.5
2001-07-24,2001-07-23,True,False,LB,XRX,CMI | LB | PSFT | PTC | QLGC,CMI:0.1000000000 | LB:0.1000000000 | PSFT:0.1000000000 | PTC:0.1000000000 | QLGC:0.1000000000,0.5,0.5
2001-08-07,2001-08-06,True,False,EIX | PCG,PSFT | QLGC,CMI | EIX | LB | PCG | PTC,CMI:0.1000000000 | EIX:0.1000000000 | LB:0.1000000000 | PCG:0.1000000000 | PTC:0.1000000000,0.5,0.5
2001-08-14,2001-08-13,True,False,MS | QLGC,LB | PCG | PTC,CMI | EIX | MS | QLGC,CMI:0.1000000000 | EIX:0.1000000000 | MS:0.1000000000 | QLGC:0.1000000000,0.4,0.6
2001-08-21,2001-08-20,True,False,JCP | PCG,QLGC,CMI | EIX | JCP | MS | PCG,CMI:0.1000000000 | EIX:0.1000000000 | JCP:0.1000000000 | MS:0.1000000000 | PCG:0.1000000000,0.5,0.5
2001-08-28,2001-08-27,True,False,CTXS,JCP,CMI | CTXS | EIX | MS | PCG,CMI:0.1000000000 | CTXS:0.1000000000 | EIX:0.1000000000 | MS:0.1000000000 | PCG:0.1000000000,0.5,0.5
2001-09-18,2001-09-17,True,False,CBE,CTXS,CBE | CMI | EIX | MS | PCG,CBE:0.1000000000 | CMI:0.1000000000 | EIX:0.1000000000 | MS:0.1000000000 | PCG:0.1000000000,0.5,0.5
2001-09-25,2001-09-24,True,False,MSI,EIX,CBE | CMI | MS | MSI | PCG,CBE:0.1000000000 | CMI:0.1000000000 | MS:0.1000000000 | MSI:0.1000000000 | PCG:0.1000000000,0.5,0.5
2001-10-02,2001-10-01,True,False,CNXT,MS,CBE | CMI | CNXT | MSI | PCG,CBE:0.1000000000 | CMI:0.1000000000 | CNXT:0.1000000000 | MSI:0.1000000000 | PCG:0.1000000000,0.5,0.5
2001-10-09,2001-10-08,True,False,OMX,CMI,CBE | CNXT | MSI | OMX | PCG,CBE:0.1000000000 | CNXT:0.1000000000 | MSI:0.1000000000 | OMX:0.1000000000 | PCG:0.1000000000,0.5,0.5
2001-10-23,2001-10-22,True,False,HM | IMNX | PDG,CBE | MSI | OMX,CNXT | HM | IMNX | PCG | PDG,CNXT:0.1000000000 | HM:0.1000000000 | IMNX:0.1000000000 | PCG:0.1000000000 | PDG:0.1000000000,0.5,0.5
2001-10-30,2001-10-29,True,False,GDT | HUM,CNXT | PCG,GDT | HM | HUM | IMNX | PDG,GDT:0.1000000000 | HM:0.1000000000 | HUM:0.1000000000 | IMNX:0.1000000000 | PDG:0.1000000000,0.5,0.5
2001-11-06,2001-11-05,True,False,NEM,HUM,GDT | HM | IMNX | NEM | PDG,GDT:0.1000000000 | HM:0.1000000000 | IMNX:0.1000000000 | NEM:0.1000000000 | PDG:0.1000000000,0.5,0.5
2001-11-13,2001-11-12,True,False,FLR | LB,HM | NEM,FLR | GDT | IMNX | LB | PDG,FLR:0.1000000000 | GDT:0.1000000000 | IMNX:0.1000000000 | LB:0.1000000000 | PDG:0.1000000000,0.5,0.5
2001-11-20,2001-11-19,True,False,INTU,PDG,FLR | GDT | IMNX | INTU | LB,FLR:0.1000000000 | GDT:0.1000000000 | IMNX:0.1000000000 | INTU:0.1000000000 | LB:0.1000000000,0.5,0.5
2001-11-28,2001-11-27,True,False,ADCT | BMET | QLGC,FLR | GDT | INTU,ADCT | BMET | IMNX | LB | QLGC,ADCT:0.1000000000 | BMET:0.1000000000 | IMNX:0.1000000000 | LB:0.1000000000 | QLGC:0.1000000000,0.5,0.5
2001-12-05,2001-12-04,True,False,EQR,ADCT,BMET | EQR | IMNX | LB | QLGC,BMET:0.1000000000 | EQR:0.1000000000 | IMNX:0.1000000000 | LB:0.1000000000 | QLGC:0.1000000000,0.5,0.5
2001-12-12,2001-12-11,True,False,BRCM | NTAP | VRTS,BMET | IMNX | LB,BRCM | EQR | NTAP | QLGC | VRTS,BRCM:0.1000000000 | EQR:0.1000000000 | NTAP:0.1000000000 | QLGC:0.1000000000 | VRTS:0.1000000000,0.5,0.5
2001-12-27,2001-12-26,True,False,PALM,EQR,BRCM | NTAP | PALM | QLGC | VRTS,BRCM:0.1000000000 | NTAP:0.1000000000 | PALM:0.1000000000 | QLGC:0.1000000000 | VRTS:0.1000000000,0.5,0.5
2002-01-04,2002-01-03,True,False,EQR,VRTS,BRCM | EQR | NTAP | PALM | QLGC,BRCM:0.1000000000 | EQR:0.1000000000 | NTAP:0.1000000000 | PALM:0.1000000000 | QLGC:0.1000000000,0.5,0.5
2002-01-18,2002-01-17,True,False,CNXT | NVDA,EQR | PALM,BRCM | CNXT | NTAP | NVDA | QLGC,BRCM:0.1000000000 | CNXT:0.1000000000 | NTAP:0.1000000000 | NVDA:0.1000000000 | QLGC:0.1000000000,0.5,0.5
2002-01-28,2002-01-25,True,False,PALM | SAPE | SEBL,BRCM | CNXT | QLGC,NTAP | NVDA | PALM | SAPE | SEBL,NTAP:0.1000000000 | NVDA:0.1000000000 | PALM:0.1000000000 | SAPE:0.1000000000 | SEBL:0.1000000000,0.5,0.5
2002-02-11,2002-02-08,True,False,ADCT,SAPE,ADCT | NTAP | NVDA | PALM | SEBL,ADCT:0.1000000000 | NTAP:0.1000000000 | NVDA:0.1000000000 | PALM:0.1000000000 | SEBL:0.1000000000,0.5,0.5
2002-02-19,2002-02-15,True,False,NOVL | OMX | TSG,ADCT | NTAP | NVDA,NOVL | OMX | PALM | SEBL | TSG,NOVL:0.1000000000 | OMX:0.1000000000 | PALM:0.1000000000 | SEBL:0.1000000000 | TSG:0.1000000000,0.5,0.5
2002-02-26,2002-02-25,True,False,NVDA | RATL,PALM | TSG,NOVL | NVDA | OMX | RATL | SEBL,NOVL:0.1000000000 | NVDA:0.1000000000 | OMX:0.1000000000 | RATL:0.1000000000 | SEBL:0.1000000000,0.5,0.5
2002-03-05,2002-03-04,True,False,PVN,RATL,NOVL | NVDA | OMX | PVN | SEBL,NOVL:0.1000000000 | NVDA:0.1000000000 | OMX:0.1000000000 | PVN:0.1000000000 | SEBL:0.1000000000,0.5,0.5
2002-03-12,2002-03-11,True,False,PTC | TSG | XRX,NOVL | NVDA | PVN,OMX | PTC | SEBL | TSG | XRX,OMX:0.1000000000 | PTC:0.1000000000 | SEBL:0.1000000000 | TSG:0.1000000000 | XRX:0.1000000000,0.5,0.5
2002-03-19,2002-03-18,True,False,MU | PVN,PTC | XRX,MU | OMX | PVN | SEBL | TSG,MU:0.2000000000 | OMX:0.2000000000 | PVN:0.2000000000 | SEBL:0.2000000000 | TSG:0.2000000000,1.0,0.0
2002-03-26,2002-03-25,True,False,HAL | LB | MDR | TRV,MU | OMX | SEBL | TSG,HAL | LB | MDR | PVN | TRV,HAL:0.1000000000 | LB:0.1000000000 | MDR:0.1000000000 | PVN:0.1000000000 | TRV:0.1000000000,0.5,0.5
2002-04-03,2002-04-02,True,False,KLAC | PTC | TRW,MDR | PVN | TRV,HAL | KLAC | LB | PTC | TRW,HAL:0.1000000000 | KLAC:0.1000000000 | LB:0.1000000000 | PTC:0.1000000000 | TRW:0.1000000000,0.5,0.5
2002-04-10,2002-04-09,True,False,PVN,LB,HAL | KLAC | PTC | PVN | TRW,HAL:0.1000000000 | KLAC:0.1000000000 | PTC:0.1000000000 | PVN:0.1000000000 | TRW:0.1000000000,0.5,0.5
2002-04-17,2002-04-16,True,False,LPX | OMX,KLAC | PTC,HAL | LPX | OMX | PVN | TRW,HAL:0.2000000000 | LPX:0.2000000000 | OMX:0.2000000000 | PVN:0.2000000000 | TRW:0.2000000000,1.0,0.0
2002-04-24,2002-04-23,True,False,NBR | TER,LPX | TRW,HAL | NBR | OMX | PVN | TER,HAL:0.1000000000 | NBR:0.1000000000 | OMX:0.1000000000 | PVN:0.1000000000 | TER:0.1000000000,0.5,0.5
2002-05-01,2002-04-30,True,False,MIR,HAL,MIR | NBR | OMX | PVN | TER,MIR:0.1000000000 | NBR:0.1000000000 | OMX:0.1000000000 | PVN:0.1000000000 | TER:0.1000000000,0.5,0.5
2002-05-08,2002-05-07,True,False,MSI | WMB,NBR | TER,MIR | MSI | OMX | PVN | WMB,MIR:0.1000000000 | MSI:0.1000000000 | OMX:0.1000000000 | PVN:0.1000000000 | WMB:0.1000000000,0.5,0.5
2002-05-15,2002-05-14,True,False,CNC | MS,MIR | MSI,CNC | MS | OMX | PVN | WMB,CNC:0.1000000000 | MS:0.1000000000 | OMX:0.1000000000 | PVN:0.1000000000 | WMB:0.1000000000,0.5,0.5
2002-05-22,2002-05-21,True,False,AES | MIR,CNC | MS,AES | MIR | OMX | PVN | WMB,AES:0.1000000000 | MIR:0.1000000000 | OMX:0.1000000000 | PVN:0.1000000000 | WMB:0.1000000000,0.5,0.5
2002-05-30,2002-05-29,True,False,MS,WMB,AES | MIR | MS | OMX | PVN,AES:0.1000000000 | MIR:0.1000000000 | MS:0.1000000000 | OMX:0.1000000000 | PVN:0.1000000000,0.5,0.5
2002-06-06,2002-06-05,True,False,AM | PTC,MIR | OMX,AES | AM | MS | PTC | PVN,AES:0.1000000000 | AM:0.1000000000 | MS:0.1000000000 | PTC:0.1000000000 | PVN:0.1000000000,0.5,0.5
2002-06-13,2002-06-12,True,False,MSI,AES,AM | MS | MSI | PTC | PVN,AM:0.1000000000 | MS:0.1000000000 | MSI:0.1000000000 | PTC:0.1000000000 | PVN:0.1000000000,0.5,0.5
2002-06-27,2002-06-26,True,False,DDS | OMX | SLR,MS | MSI | PVN,AM | DDS | OMX | PTC | SLR,AM:0.1000000000 | DDS:0.1000000000 | OMX:0.1000000000 | PTC:0.1000000000 | SLR:0.1000000000,0.5,0.5
2002-07-05,2002-07-03,True,False,MSI,SLR,AM | DDS | MSI | OMX | PTC,AM:0.1000000000 | DDS:0.1000000000 | MSI:0.1000000000 | OMX:0.1000000000 | PTC:0.1000000000,0.5,0.5
2002-07-12,2002-07-11,True,False,PBG | TRV,OMX | PTC,AM | DDS | MSI | PBG | TRV,AM:0.1000000000 | DDS:0.1000000000 | MSI:0.1000000000 | PBG:0.1000000000 | TRV:0.1000000000,0.5,0.5
2002-07-19,2002-07-18,True,False,INTU,AM,DDS | INTU | MSI | PBG | TRV,DDS:0.1000000000 | INTU:0.1000000000 | MSI:0.1000000000 | PBG:0.1000000000 | TRV:0.1000000000,0.5,0.5
2002-07-26,2002-07-25,True,False,BMC | BSX | EBAY,DDS | MSI | PBG,BMC | BSX | EBAY | INTU | TRV,BMC:0.1000000000 | BSX:0.1000000000 | EBAY:0.1000000000 | INTU:0.1000000000 | TRV:0.1000000000,0.5,0.5
2002-08-02,2002-08-01,True,False,PTC,BMC,BSX | EBAY | INTU | PTC | TRV,BSX:0.1000000000 | EBAY:0.1000000000 | INTU:0.1000000000 | PTC:0.1000000000 | TRV:0.1000000000,0.5,0.5
2002-08-16,2002-08-15,True,False,NXTL,TRV,BSX | EBAY | INTU | NXTL | PTC,BSX:0.1000000000 | EBAY:0.1000000000 | INTU:0.1000000000 | NXTL:0.1000000000 | PTC:0.1000000000,0.5,0.5
2002-08-23,2002-08-22,True,False,APOL | ORCL,BSX | EBAY,APOL | INTU | NXTL | ORCL | PTC,APOL:0.1000000000 | INTU:0.1000000000 | NXTL:0.1000000000 | ORCL:0.1000000000 | PTC:0.1000000000,0.5,0.5
2002-08-30,2002-08-29,True,False,EMC | SBL,INTU | PTC,APOL | EMC | NXTL | ORCL | SBL,APOL:0.1000000000 | EMC:0.1000000000 | NXTL:0.1000000000 | ORCL:0.1000000000 | SBL:0.1000000000,0.5,0.5
2002-09-09,2002-09-06,True,False,AMGN,EMC,AMGN | APOL | NXTL | ORCL | SBL,AMGN:0.1000000000 | APOL:0.1000000000 | NXTL:0.1000000000 | ORCL:0.1000000000 | SBL:0.1000000000,0.5,0.5
2002-09-16,2002-09-13,True,False,CHIR,SBL,AMGN | APOL | CHIR | NXTL | ORCL,AMGN:0.1000000000 | APOL:0.1000000000 | CHIR:0.1000000000 | NXTL:0.1000000000 | ORCL:0.1000000000,0.5,0.5
2002-09-23,2002-09-20,True,False,AMD | GENZ,APOL | CHIR,AMD | AMGN | GENZ | NXTL | ORCL,AMD:0.1000000000 | AMGN:0.1000000000 | GENZ:0.1000000000 | NXTL:0.1000000000 | ORCL:0.1000000000,0.5,0.5
