year,iso_week,week_first_session,week_last_session,rebalance_dates,forced_exit_dates,week_end_source_signal_date,gross_target,cash_target,position_count,held_at_week_end,target_weights_at_week_end,constituent_snapshot_date,tradable_constituent_count
2015,26,2015-06-22,2015-06-26,2015-06-24,,2015-06-23,1.0,0.0,5,ALTR | KRFT | NE | NFLX | RIG,ALTR:0.2000000000 | KRFT:0.2000000000 | NE:0.2000000000 | NFLX:0.2000000000 | RIG:0.2000000000,2015-06-24,480
2015,27,2015-06-29,2015-07-02,2015-07-01,,2015-06-30,1.0,0.0,5,ALTR | BRCM | CVC | NFLX | RIG,ALTR:0.2000000000 | BRCM:0.2000000000 | CVC:0.2000000000 | NFLX:0.2000000000 | RIG:0.2000000000,2015-07-02,482
2015,28,2015-07-06,2015-07-10,2015-07-09,,2015-07-08,1.0,0.0,5,ALTR | BRCM | CVC | NFLX | RIG,ALTR:0.2000000000 | BRCM:0.2000000000 | CVC:0.2000000000 | NFLX:0.2000000000 | RIG:0.2000000000,2015-07-10,482
2015,29,2015-07-13,2015-07-17,2015-07-16,,2015-07-15,1.0,0.0,5,AGN | ALTR | BRCM | CVC | NFLX,AGN:0.2000000000 | ALTR:0.2000000000 | BRCM:0.2000000000 | CVC:0.2000000000 | NFLX:0.2000000000,2015-07-15,482
2015,30,2015-07-20,2015-07-24,2015-07-23,,2015-07-22,1.0,0.0,5,AGN | ALTR | BRCM | CVC | NFLX,AGN:0.2000000000 | ALTR:0.2000000000 | BRCM:0.2000000000 | CVC:0.2000000000 | NFLX:0.2000000000,2015-07-23,482
2015,31,2015-07-27,2015-07-31,2015-07-30,,2015-07-29,1.0,0.0,5,AGN | ALTR | BRCM | CVC | NFLX,AGN:0.2000000000 | ALTR:0.2000000000 | BRCM:0.2000000000 | CVC:0.2000000000 | NFLX:0.2000000000,2015-07-30,482
2015,32,2015-08-03,2015-08-07,2015-08-06,,2015-08-05,1.0,0.0,5,AGN | ALTR | CVC | NFLX | THC,AGN:0.2000000000 | ALTR:0.2000000000 | CVC:0.2000000000 | NFLX:0.2000000000 | THC:0.2000000000,2015-08-04,482
2015,33,2015-08-10,2015-08-14,2015-08-13,,2015-08-12,1.0,0.0,5,AGN | ALTR | CVC | NFLX | THC,AGN:0.2000000000 | ALTR:0.2000000000 | CVC:0.2000000000 | NFLX:0.2000000000 | THC:0.2000000000,2015-08-12,482
2015,34,2015-08-17,2015-08-21,2015-08-20,,2015-08-19,1.0,0.0,5,AGN | ALXN | CB | GOOGL | NFLX,AGN:0.2000000000 | ALXN:0.2000000000 | CB:0.2000000000 | GOOGL:0.2000000000 | NFLX:0.2000000000,2015-08-21,482
2015,35,2015-08-24,2015-08-28,2015-08-27,,2015-08-26,0.5,0.5,5,AGN | ALXN | CB | GOOGL | NFLX,AGN:0.1000000000 | ALXN:0.1000000000 | CB:0.1000000000 | GOOGL:0.1000000000 | NFLX:0.1000000000,2015-08-25,482
2015,36,2015-08-31,2015-09-04,2015-09-03,,2015-09-02,0.5,0.5,5,AGN | ALXN | CB | GOOGL | NFLX,AGN:0.1000000000 | ALXN:0.1000000000 | CB:0.1000000000 | GOOGL:0.1000000000 | NFLX:0.1000000000,2015-09-04,482
2015,37,2015-09-08,2015-09-11,2015-09-11,,2015-09-10,0.5,0.5,5,AGN | CB | GOOGL | NFLX | TE,AGN:0.1000000000 | CB:0.1000000000 | GOOGL:0.1000000000 | NFLX:0.1000000000 | TE:0.1000000000,2015-09-11,482
2015,38,2015-09-14,2015-09-18,2015-09-18,,2015-09-17,1.0,0.0,5,CB | GOOG | GOOGL | NFLX | TE,CB:0.2000000000 | GOOG:0.2000000000 | GOOGL:0.2000000000 | NFLX:0.2000000000 | TE:0.2000000000,2015-09-15,482
2015,39,2015-09-21,2015-09-25,2015-09-25,,2015-09-24,0.5,0.5,5,CB | GOOG | GOOGL | NFLX | TE,CB:0.1000000000 | GOOG:0.1000000000 | GOOGL:0.1000000000 | NFLX:0.1000000000 | TE:0.1000000000,2015-09-25,484
2015,40,2015-09-28,2015-10-02,2015-10-02,,2015-10-01,1.0,0.0,5,CAM | GOOG | GOOGL | NFLX | TE,CAM:0.2000000000 | GOOG:0.2000000000 | GOOGL:0.2000000000 | NFLX:0.2000000000 | TE:0.2000000000,2015-10-02,484
2015,41,2015-10-05,2015-10-09,2015-10-09,,2015-10-08,1.0,0.0,5,CAM | GAS | GOOG | GOOGL | TE,CAM:0.2000000000 | GAS:0.2000000000 | GOOG:0.2000000000 | GOOGL:0.2000000000 | TE:0.2000000000,2015-10-09,484
