date,strategy_equity,spy_equity,qqq_equity,gross_close,cash_close,trade_at_open,turnover,cost_fraction,cumulative_turnover,strategy_return_index,spy_return_index,qqq_return_index
2015-01-02,3.749949441314926,1.826661343553801,1.166687462658956,1.0,0.0,False,0.0,0.0,345.45400601619616,-0.008234010260047775,-0.004603218260270769,-0.007902849633210751
2015-01-05,3.7322947646479,1.7936723610089678,1.149573817145158,1.0,0.0,False,0.0,0.0,345.45400601619616,-0.012903221979358892,-0.02257980005737059,-0.022455503612993533
2015-01-06,3.717957853219031,1.7767779007444549,1.1341599863287497,1.0,1.1102230246251563e-16,False,0.0,0.0,345.45400601619616,-0.016694969408380333,-0.03178604479226421,-0.035562713657355305
2015-01-07,3.783614484411143,1.798918607267106,1.148780388300087,0.9999999999999996,4.440892098500626e-16,False,0.0,0.0,345.45400601619616,0.0006695350566192637,-0.019720979696391527,-0.02313019886892742
2015-01-08,3.897125124355231,1.8308400750359088,1.1707678462840754,0.9999999999999998,2.220446049250313e-16,True,1.2211380171292967,0.0006105690085646,346.67514403332547,0.03069020438348069,-0.002326115345861801,-0.0044330797964301505
2015-01-09,3.853425732829218,1.816168851037525,1.1630606955487732,1.0,1.1102230246251563e-16,False,0.0,0.0,346.67514403332547,0.019132829819882957,-0.010320858982228565,-0.010986884929909735
2015-01-12,3.804646701813217,1.801941124484176,1.1509340077740913,1.0,1.1102230246251563e-16,False,0.0,0.0,346.67514403332547,0.00623202016065294,-0.018073928960226526,-0.021298860304386324
2015-01-13,3.791559333366421,1.7968735912705558,1.1505938189205995,1.0,0.0,False,0.0,0.0,346.67514403332547,0.0027707449824529995,-0.020835363787759076,-0.02158814119831698
2015-01-14,3.7595472280526985,1.7860258080233125,1.1442468588142292,1.0,0.0,False,0.0,0.0,346.67514403332547,-0.005695640446730432,-0.02674661196269923,-0.0269853030231908
2015-01-15,3.703916559744959,1.7696646945010324,1.1293994132583236,1.0,0.0,True,0.0220755715490859,1.1037785774542968e-05,346.69721960487453,-0.02040853342770199,-0.035662221746213696,-0.039610885192959744
2015-01-16,3.785835008425351,1.792872094508149,1.1426600011240875,0.9999999999999998,2.220446049250313e-16,False,0.0,0.0,346.69721960487453,0.001256807026856821,-0.023015886747582814,-0.028334693535058686
2015-01-20,3.8290171331067473,1.7966956995176029,1.151727342488323,0.9999999999999998,2.220446049250313e-16,False,0.0,0.0,346.69721960487453,0.012677377702258186,-0.02093230177739369,-0.020624245092971893
2015-01-21,3.853278820506964,1.8057662078184464,1.157620686079757,0.9999999999999998,2.220446049250313e-16,False,0.0,0.0,346.69721960487453,0.019093975257450824,-0.01598953841117623,-0.01561281780817958
2015-01-22,3.938026048910928,1.8326184997904988,1.179041476410723,1.0,1.1102230246251563e-16,False,0.0,0.0,346.69721960487453,0.041507455804618676,-0.0013570039758028507,0.0026024332561649377
2015-01-23,3.964126678720544,1.822571147302388,1.1816482417454657,1.0,1.1102230246251563e-16,True,0.0324797178327903,1.6239858916395193e-05,346.72969932270735,0.048410406727309896,-0.006832075951767935,0.004819106138188367
2015-01-26,3.969415011114416,1.8268387425318149,1.1802880511165326,1.0,0.0,False,0.0,0.0,346.72969932270735,0.04980903577358409,-0.004506548796923249,0.003662462829581381
2015-01-27,3.896849482169479,1.8027423765348725,1.1496873389374411,1.0,0.0,False,0.0,0.0,346.72969932270735,0.03061730405523777,-0.017637305217440225,-0.022358969922323668
2015-01-28,3.9656765163364014,1.7796235117584498,1.143793430560971,1.0,1.1102230246251563e-16,False,0.0,0.0,346.72969932270735,0.04882029925015097,-0.030235394993159637,-0.027370877474233613
2015-01-29,4.058742956331733,1.796073160511424,1.1547870654221266,1.0,0.0,False,0.0,0.0,346.72969932270735,0.0734339990927757,-0.0212715399867337,-0.018022397982503824
2015-01-30,3.958195201658881,1.7734881352521732,1.1458337165043708,1.0,0.0,True,0.4422463286427717,0.0002211231643213,347.17194565135014,0.04684168231895702,-0.033578726284786864,-0.02563591251132291
2015-02-02,3.95129810831417,1.7954509500218712,1.1558073495900851,1.0,0.0,False,0.0,0.0,347.17194565135014,0.0450175770305008,-0.021610599178549017,-0.017154795434269454
2015-02-03,4.050721527285018,1.8214150972956629,1.1669140355893255,1.0,0.0,False,0.0,0.0,347.17194565135014,0.0713125356858304,-0.0074620386212497225,-0.007710182474469307
2015-02-04,3.978264241957493,1.8144796185468803,1.1658943162064035,1.0,0.0,False,0.0,0.0,347.17194565135014,0.05214943164367969,-0.011241367094326993,-0.008577304755585713
2015-02-05,4.015350477224525,1.832796391543452,1.175981094561044,1.0,1.1102230246251563e-16,False,0.0,0.0,347.17194565135014,0.06195779503655796,-0.001260065986168124,2.5834059558249578e-08
2015-02-06,3.96166913808115,1.8277280370382667,1.1688411762637991,1.0,0.0,True,0.3999999999999998,0.0001999999999999,347.5719456513501,0.04776044990450545,-0.0040219483575124615,-0.00607143102415042
2015-02-09,3.936460188352797,1.8195476445354395,1.165101169753851,1.0,1.1102230246251563e-16,False,0.0,0.0,347.5719456513501,0.04109332562219037,-0.00847966374050746,-0.009251759877960675
2015-02-10,4.007969708195335,1.838932260824668,1.1832348170430893,1.0,0.0,False,0.0,0.0,347.5719456513501,0.060005769865063785,0.0020835338317466423,0.00616825651649755
2015-02-11,4.035466394892851,1.83999879005082,1.1875413029443818,0.9999999999999996,3.3306690738754696e-16,False,0.0,0.0,347.5719456513501,0.06727794223002492,0.002664714225742104,0.009830293289421865
2015-02-12,4.076066596480867,1.8576940095910908,1.2013684643323277,0.9999999999999994,5.551115123125785e-16,False,0.0,0.0,347.5719456513501,0.07801566009575178,0.012307314177135042,0.021588272910955553
2015-02-13,4.072587191621111,1.865341383868311,1.2116823804023726,1.0,1.1102230246251563e-16,True,0.0147926033429202,7.396301671460145e-06,347.58673825469305,0.07709544624795339,0.01647457362627569,0.03035875092645912
2015-02-17,4.073265047019095,1.868274873079748,1.212815715708418,0.9999999999999998,2.220446049250313e-16,False,0.0,0.0,347.58673825469305,0.07727472171291727,0.018073110613242127,0.031322486942765515
2015-02-18,4.09520926971962,1.8684537503825789,1.2145156245366455,0.9999999999999998,2.220446049250313e-16,False,0.0,0.0,347.58673825469305,0.08307840895890517,0.01817058565545082,0.03276801092270465
2015-02-19,4.109719222045967,1.8671193158479624,1.2205225840512022,0.9999999999999996,3.3306690738754696e-16,False,0.0,0.0,347.58673825469305,0.08691592129213088,0.017443416470047657,0.037876051942686395
2015-02-20,4.113799774773006,1.878322882601112,1.2286829747780843,0.9999999999999996,4.440892098500626e-16,False,0.0,0.0,347.58673825469305,0.08799512341934657,0.023548540624257264,0.04481527143816999
2015-02-23,4.123960786491272,1.8780567841340905,1.2299293612222164,1.0,0.0,True,0.4146689935064342,0.0002073344967532,348.0014072481995,0.09068245187569834,0.02340353642923576,0.04587514092254863
2015-02-24,4.132088360504584,1.8833909085896705,1.2308365001212485,1.0,0.0,False,0.0,0.0,348.0014072481995,0.09283198791922165,0.026310243978076464,0.04664652995819085
2015-02-25,4.145157617470092,1.881790868362972,1.2277759300098905,0.9999999999999998,2.220446049250313e-16,False,0.0,0.0,348.0014072481995,0.09628847307253019,0.025438339123939002,0.044043962447046336
2015-02-26,4.248266653892141,1.879567796355156,1.2340094624548197,0.9999999999999998,2.220446049250313e-16,False,0.0,0.0,348.0014072481995,0.12355818354691706,0.024226927534174658,0.04934467062577208
2015-02-27,4.247263285492108,1.873165992865232,1.2285697353783194,0.9999999999999996,3.3306690738754696e-16,False,0.0,0.0,348.0014072481995,0.12329281819468885,0.020738413030001235,0.044718977881059274
