year,iso_week,week_first_session,week_last_session,rebalance_dates,forced_exit_dates,week_end_source_signal_date,gross_target,cash_target,position_count,held_at_week_end,target_weights_at_week_end,constituent_snapshot_date,tradable_constituent_count
2021,24,2021-06-14,2021-06-18,2021-06-16,,2021-06-15,1.0,0.0,5,DXC | FCX | KSU | NUE | STX,DXC:0.2000000000 | FCX:0.2000000000 | KSU:0.2000000000 | NUE:0.2000000000 | STX:0.2000000000,2021-06-04,505
2021,25,2021-06-21,2021-06-25,2021-06-23,,2021-06-22,1.0,0.0,5,DXC | EFX | FCX | NUE | STX,DXC:0.2000000000 | EFX:0.2000000000 | FCX:0.2000000000 | NUE:0.2000000000 | STX:0.2000000000,2021-06-04,505
2021,26,2021-06-28,2021-07-02,2021-06-30,,2021-06-29,1.0,0.0,5,DXC | EFX | FCX | NUE | STX,DXC:0.2000000000 | EFX:0.2000000000 | FCX:0.2000000000 | NUE:0.2000000000 | STX:0.2000000000,2021-06-04,505
2021,27,2021-07-06,2021-07-09,2021-07-08,,2021-07-07,1.0,0.0,5,BIIB | DVN | DXC | NUE | STX,BIIB:0.2000000000 | DVN:0.2000000000 | DXC:0.2000000000 | NUE:0.2000000000 | STX:0.2000000000,2021-06-04,505
2021,28,2021-07-12,2021-07-16,2021-07-15,,2021-07-14,1.0,0.0,5,APA | BIIB | DVN | DXC | NUE,APA:0.2000000000 | BIIB:0.2000000000 | DVN:0.2000000000 | DXC:0.2000000000 | NUE:0.2000000000,2021-06-04,505
2021,29,2021-07-19,2021-07-23,2021-07-22,,2021-07-21,1.0,0.0,5,APA | BIIB | DVN | HES | MRO,APA:0.2000000000 | BIIB:0.2000000000 | DVN:0.2000000000 | HES:0.2000000000 | MRO:0.2000000000,2021-07-21,505
2021,30,2021-07-26,2021-07-30,2021-07-29,,2021-07-28,1.0,0.0,5,BIIB | DVN | ENPH | GNRC | NVDA,BIIB:0.2000000000 | DVN:0.2000000000 | ENPH:0.2000000000 | GNRC:0.2000000000 | NVDA:0.2000000000,2021-07-21,505
2021,31,2021-08-02,2021-08-06,2021-08-05,,2021-08-04,1.0,0.0,5,BIIB | ENPH | GNRC | MRNA | NVDA,BIIB:0.2000000000 | ENPH:0.2000000000 | GNRC:0.2000000000 | MRNA:0.2000000000 | NVDA:0.2000000000,2021-08-03,505
2021,32,2021-08-09,2021-08-13,2021-08-12,,2021-08-11,1.0,0.0,5,BIIB | ENPH | GNRC | MRNA | NVDA,BIIB:0.2000000000 | ENPH:0.2000000000 | GNRC:0.2000000000 | MRNA:0.2000000000 | NVDA:0.2000000000,2021-08-03,505
2021,33,2021-08-16,2021-08-20,2021-08-19,,2021-08-18,1.0,0.0,5,ENPH | GNRC | MRNA | NVDA | TWTR,ENPH:0.2000000000 | GNRC:0.2000000000 | MRNA:0.2000000000 | NVDA:0.2000000000 | TWTR:0.2000000000,2021-08-03,505
2021,34,2021-08-23,2021-08-27,2021-08-26,,2021-08-25,1.0,0.0,5,BIIB | ENPH | GNRC | MRNA | NVDA,BIIB:0.2000000000 | ENPH:0.2000000000 | GNRC:0.2000000000 | MRNA:0.2000000000 | NVDA:0.2000000000,2021-08-03,505
2021,35,2021-08-30,2021-09-03,2021-09-02,,2021-09-01,1.0,0.0,5,AMD | BIIB | ENPH | GNRC | MRNA,AMD:0.2000000000 | BIIB:0.2000000000 | ENPH:0.2000000000 | GNRC:0.2000000000 | MRNA:0.2000000000,2021-08-30,505
